,5d631df192a38a0019d83f7f
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.127
Pond6Fish7_PondTime,47.616
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,590
Pond6Fish7_TimeLeft,607.871
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,-1
Pond6Fish8_PondTime,55.534
Pond6Fish8_PondOutcome,70
Pond6Fish8_TotalOutcome,590
Pond6Fish8_TimeLeft,599.953
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.329
Pond6Fish9_PondTime,63.964
Pond6Fish9_PondOutcome,80
Pond6Fish9_TotalOutcome,600
Pond6Fish9_TimeLeft,591.523
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.12
Pond6Fish10_PondTime,73.034
Pond6Fish10_PondOutcome,90
Pond6Fish10_TotalOutcome,610
Pond6Fish10_TimeLeft,582.453
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.121
Pond6Fish11_PondTime,82.945
Pond6Fish11_PondOutcome,100
Pond6Fish11_TotalOutcome,620
Pond6Fish11_TimeLeft,572.542
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.33
Pond6Fish12_PondTime,93.965
Pond6Fish12_PondOutcome,110
Pond6Fish12_TotalOutcome,630
Pond6Fish12_TimeLeft,561.522
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.297
Pond6Fish13_PondTime,106.355
Pond6Fish13_PondOutcome,120
Pond6Fish13_TotalOutcome,640
Pond6Fish13_TimeLeft,549.132
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.959
PondTime,106.807
TimeLeft,548.16
PondOutcome,120
TotalOutcome,640
PondStart,PondStart
PondIntroTime,10.186506155878305
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.667
Pond5Fish1_PondTime,8.938
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,660
Pond5Fish1_TimeLeft,528.402
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.363
Pond5Fish2_PondTime,16.379
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,670
Pond5Fish2_TimeLeft,520.962
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,24.278
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,670
Pond5Fish3_TimeLeft,513.063
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.86
Pond5Fish4_PondTime,32.838
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,690
Pond5Fish4_TimeLeft,504.503
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,41.958
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,690
Pond5Fish5_TimeLeft,495.383
