,59aef156f235c20001a1a3a4
Pond9Fish5_TimeLeft,665.516
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.495
Pond9Fish6_PondTime,39.767
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,540
Pond9Fish6_TimeLeft,658.487
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.867
Pond9Fish7_PondTime,47.181
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,550
Pond9Fish7_TimeLeft,651.073
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.914
Pond9Fish8_PondTime,55.037
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,560
Pond9Fish8_TimeLeft,643.216
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.756
Pond9Fish9_PondTime,63.407
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,634.847
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.899
Pond9Fish10_PondTime,72.475
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,580
Pond9Fish10_TimeLeft,625.779
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.689
Pond9Fish11_PondTime,82.398
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,590
Pond9Fish11_TimeLeft,615.856
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.943
Pond9Fish12_PondTime,93.374
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,600
Pond9Fish12_TimeLeft,604.88
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,golden
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.706
Pond9Fish13_PondTime,105.781
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,620
Pond9Fish13_TimeLeft,592.473
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,0.322
PondTime,119.714
TimeLeft,578.037
PondOutcome,140
TotalOutcome,620
PondStart,PondStart
PondIntroTime,18.22862752713263
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.976
Pond8Fish1_PondTime,8.598
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,630
