,5c1a46e47fb37900018348c5
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.096
Pond1Fish6_PondTime,39.747
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,720
Pond1Fish6_TimeLeft,491.15
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.191
Pond1Fish7_PondTime,47.124
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,730
Pond1Fish7_TimeLeft,483.773
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.372
Pond1Fish8_PondTime,54.965
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,740
Pond1Fish8_TimeLeft,475.932
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,-1
Pond1Fish9_PondTime,63.412
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,740
Pond1Fish9_TimeLeft,467.483
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.924
Pond1Fish10_PondTime,72.477
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,750
Pond1Fish10_TimeLeft,458.42
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.014
Pond1Fish11_PondTime,82.356
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,760
Pond1Fish11_TimeLeft,448.541
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,0.778
PondTime,93.225
TimeLeft,437.169
PondOutcome,100
TotalOutcome,760
PondStart,PondStart
PondIntroTime,16.662510787136853
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.997
Pond11Fish1_PondTime,7.873
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,770
Pond11Fish1_TimeLeft,412.008
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.203
Pond11Fish2_PondTime,13.777
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,780
Pond11Fish2_TimeLeft,406.104
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,golden
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.892
Pond11Fish3_PondTime,19.91
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,800
Pond11Fish3_TimeLeft,399.971
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.234
Pond11Fish4_PondTime,26.28
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,810
Pond11Fish4_TimeLeft,393.601
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.001
Pond11Fish5_PondTime,32.949
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,820
Pond11Fish5_TimeLeft,386.932
Type,RT
FishN,15
