,5cc2ecf5e2a25b001ad51820
Pond2Fish2_TimeLeft,364.407
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,golden
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.991
Pond2Fish3_PondTime,20.348
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,820
Pond2Fish3_TimeLeft,358.01
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,golden
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.022
Pond2Fish4_PondTime,27.017
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,840
Pond2Fish4_TimeLeft,351.341
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.287
Pond2Fish5_PondTime,34.011
Pond2Fish5_PondOutcome,70
Pond2Fish5_TotalOutcome,850
Pond2Fish5_TimeLeft,344.346
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.886
Pond2Fish6_PondTime,41.38
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,860
