,5ce5a99c0af4f10015c5b6cf
Pond1Fish14_TotalOutcome,710
Pond1Fish14_TimeLeft,457.081
Type,RT
FishN,13
Fish,15
Pond1Fish15_FishType,purple
Pond1Fish15_FishLatency,12
Pond1Fish15_CatchTime,1.148
Pond1Fish15_PondTime,138.058
Pond1Fish15_PondOutcome,170
Pond1Fish15_TotalOutcome,720
Pond1Fish15_TimeLeft,439.649
Type,RT
FishN,13
Fish,16
Pond1Fish16_FishType,purple
Pond1Fish16_FishLatency,15
Pond1Fish16_CatchTime,1.05
Pond1Fish16_PondTime,160.458
Pond1Fish16_PondOutcome,180
Pond1Fish16_TotalOutcome,730
Pond1Fish16_TimeLeft,417.249
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,0.826
PondTime,160.521
TimeLeft,416.685
PondOutcome,180
TotalOutcome,730
PondStart,PondStart
PondIntroTime,17.548667720984668
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.089
Pond6Fish1_PondTime,7.632
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,750
Pond6Fish1_TimeLeft,390.809
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.077
Pond6Fish2_PondTime,13.554
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,760
Pond6Fish2_TimeLeft,384.887
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.029
Pond6Fish3_PondTime,19.67
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,770
Pond6Fish3_TimeLeft,378.771
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.881
Pond6Fish4_PondTime,26.056
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,780
Pond6Fish4_TimeLeft,372.385
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.806
Pond6Fish5_PondTime,32.79
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,790
Pond6Fish5_TimeLeft,365.651
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.147
Pond6Fish6_PondTime,39.824
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,800
Pond6Fish6_TimeLeft,358.617
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.544
Pond6Fish7_PondTime,47.24
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,810
Pond6Fish7_TimeLeft,351.201
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.057
Pond6Fish8_PondTime,55.091
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,820
Pond6Fish8_TimeLeft,343.35
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.11
Pond6Fish9_PondTime,63.522
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,830
Pond6Fish9_TimeLeft,334.919
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.159
Pond6Fish10_PondTime,72.588
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,840
Pond6Fish10_TimeLeft,325.853
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.137
Pond6Fish11_PondTime,82.475
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,850
Pond6Fish11_TimeLeft,315.966
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.058
Pond6Fish12_PondTime,93.473
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,860
Pond6Fish12_TimeLeft,304.968
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.019
Pond6Fish13_PondTime,105.855
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,870
Pond6Fish13_TimeLeft,292.586
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,1.085
Pond6Fish14_PondTime,120.264
Pond6Fish14_PondOutcome,150
Pond6Fish14_TotalOutcome,880
Pond6Fish14_TimeLeft,278.177
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,0.744
PondTime,137.383
TimeLeft,260.557
PondOutcome,150
TotalOutcome,880
PondStart,PondStart
PondIntroTime,15.959517464507371
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.055
Pond5Fish1_PondTime,8.063
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,890
Pond5Fish1_TimeLeft,235.872
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.76
Pond5Fish2_PondTime,14.446
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,900
Pond5Fish2_TimeLeft,229.489
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.98
Pond5Fish3_PondTime,21.144
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,910
