,5cb912a2e254c8001754eabd
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,640
Pond6Fish9_TimeLeft,665.262
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.616
Pond6Fish10_PondTime,76.497
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,650
Pond6Fish10_TimeLeft,655.393
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.292
Pond6Fish11_PondTime,87.432
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,660
Pond6Fish11_TimeLeft,644.458
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,golden
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.222
Pond6Fish12_PondTime,99.806
Pond6Fish12_PondOutcome,140
Pond6Fish12_TotalOutcome,680
Pond6Fish12_TimeLeft,632.084
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,1.075
PondTime,100.317
TimeLeft,631.071
PondOutcome,140
TotalOutcome,680
PondStart,PondStart
PondIntroTime,13.533513932488859
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.141
Pond3Fish1_PondTime,8.041
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,690
Pond3Fish1_TimeLeft,608.856
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.139
Pond3Fish2_PondTime,14.408
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,700
Pond3Fish2_TimeLeft,602.489
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.173
Pond3Fish3_PondTime,21.067
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,710
Pond3Fish3_TimeLeft,595.83
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.171
Pond3Fish4_PondTime,28.056
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,720
Pond3Fish4_TimeLeft,588.841
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.303
Pond3Fish5_PondTime,35.428
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,730
Pond3Fish5_TimeLeft,581.469
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.252
Pond3Fish6_PondTime,43.254
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,740
Pond3Fish6_TimeLeft,573.643
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.183
Pond3Fish7_PondTime,51.629
Pond3Fish7_PondOutcome,70
