,5be72cf025507300010d8872
Pond11Fish13_TimeLeft,346.632
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,1.744
PondTime,115.115
TimeLeft,345.17
PondOutcome,160
TotalOutcome,780
PondStart,PondStart
PondIntroTime,17.477593624498695
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.777
Pond2Fish1_PondTime,9.281
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,790
Pond2Fish1_TimeLeft,317.796
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.02
Pond2Fish2_PondTime,17.109
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,800
Pond2Fish2_TimeLeft,309.968
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.877
Pond2Fish3_PondTime,25.486
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,810
Pond2Fish3_TimeLeft,301.591
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.286
Pond2Fish4_PondTime,34.524
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,820
Pond2Fish4_TimeLeft,292.553
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.909
Pond2Fish5_PondTime,44.393
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,830
Pond2Fish5_TimeLeft,282.684
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.773
Pond2Fish6_PondTime,55.347
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,840
Pond2Fish6_TimeLeft,271.73
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.959
Pond2Fish7_PondTime,67.71
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,850
Pond2Fish7_TimeLeft,259.367
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.89
Pond2Fish8_PondTime,82.072
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,860
Pond2Fish8_TimeLeft,245.005
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.775
Pond2Fish9_PondTime,99.449
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,870
Pond2Fish9_TimeLeft,227.628
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,0.769
Pond2Fish10_PondTime,121.834
Pond2Fish10_PondOutcome,100
