,5d89d199b97096000113dbd7
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,520
Pond9Fish5_TimeLeft,702.923
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.863
Pond9Fish6_PondTime,60.72
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,530
Pond9Fish6_TimeLeft,690.486
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.964
Pond9Fish7_PondTime,75.181
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,540
Pond9Fish7_TimeLeft,676.026
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.103
Pond9Fish8_PondTime,92.668
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,560
Pond9Fish8_TimeLeft,658.539
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,0.892
Pond9Fish9_PondTime,115.137
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,636.07
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,0.569
PondTime,147.368
TimeLeft,603.336
PondOutcome,110
TotalOutcome,570
PondStart,PondStart
PondIntroTime,16.207800826523453
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.178
Pond12Fish1_PondTime,7.691
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,580
Pond12Fish1_TimeLeft,578.723
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.158
Pond12Fish2_PondTime,13.634
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,590
Pond12Fish2_TimeLeft,572.78
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.378
Pond12Fish3_PondTime,19.84
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,600
Pond12Fish3_TimeLeft,566.574
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.269
Pond12Fish4_PondTime,26.284
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,610
Pond12Fish4_TimeLeft,560.13
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.084
Pond12Fish5_PondTime,33.034
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,620
Pond12Fish5_TimeLeft,553.38
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.31
Pond12Fish6_PondTime,40.083
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,630
Pond12Fish6_TimeLeft,546.331
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.95
Pond12Fish7_PondTime,47.516
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,640
Pond12Fish7_TimeLeft,538.898
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.387
Pond12Fish8_PondTime,55.457
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,650
Pond12Fish8_TimeLeft,530.957
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.834
Pond12Fish9_PondTime,63.913
Pond12Fish9_PondOutcome,90
Pond12Fish9_TotalOutcome,660
Pond12Fish9_TimeLeft,522.501
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.855
Pond12Fish10_PondTime,73.002
Pond12Fish10_PondOutcome,100
Pond12Fish10_TotalOutcome,670
Pond12Fish10_TimeLeft,513.412
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,0.949
Pond12Fish11_PondTime,82.928
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,680
Pond12Fish11_TimeLeft,503.486
Type,RT
FishN,16
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.134
Pond12Fish12_PondTime,93.944
Pond12Fish12_PondOutcome,120
Pond12Fish12_TotalOutcome,690
Pond12Fish12_TimeLeft,492.47
Type,RT
FishN,16
Fish,13
Pond12Fish13_FishType,golden
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,0.874
Pond12Fish13_PondTime,106.399
Pond12Fish13_PondOutcome,140
Pond12Fish13_TotalOutcome,710
Pond12Fish13_TimeLeft,480.014
Type,RT
FishN,16
Fish,14
Pond12Fish14_FishType,purple
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,1.098
Pond12Fish14_PondTime,120.873
Pond12Fish14_PondOutcome,150
Pond12Fish14_TotalOutcome,720
Pond12Fish14_TimeLeft,465.541
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,0.742
PondTime,138.264
TimeLeft,447.646
PondOutcome,150
TotalOutcome,720
PondStart,PondStart
PondIntroTime,17.75671676499769
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.759
Pond7Fish1_PondTime,9.82
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,730
Pond7Fish1_TimeLeft,419.388
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.919
Pond7Fish2_PondTime,18.289
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,740
Pond7Fish2_TimeLeft,410.919
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.984
Pond7Fish3_PondTime,27.387
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,750
Pond7Fish3_TimeLeft,401.82
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.008
Pond7Fish4_PondTime,37.318
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,760
Pond7Fish4_TimeLeft,391.89
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.856
Pond7Fish5_PondTime,48.407
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,770
Pond7Fish5_TimeLeft,380.801
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,golden
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.848
Pond7Fish6_PondTime,60.874
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,790
Pond7Fish6_TimeLeft,368.334
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.661
PondTime,75.015
TimeLeft,353.685
PondOutcome,70
TotalOutcome,790
PondStart,PondStart
PondIntroTime,18.584190539550036
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.239
Pond3Fish1_PondTime,8.108
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,800
Pond3Fish1_TimeLeft,326.373
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.844
Pond3Fish2_PondTime,14.561
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,810
Pond3Fish2_TimeLeft,319.92
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.324
Pond3Fish3_PondTime,21.312
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,830
Pond3Fish3_TimeLeft,313.169
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.751
Pond3Fish4_PondTime,28.441
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,840
Pond3Fish4_TimeLeft,306.04
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.788
Pond3Fish5_PondTime,35.991
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,850
Pond3Fish5_TimeLeft,298.49
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.704
Pond3Fish6_PondTime,43.89
Pond3Fish6_PondOutcome,80
Pond3Fish6_TotalOutcome,870
Pond3Fish6_TimeLeft,290.591
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.942
Pond3Fish7_PondTime,52.303
Pond3Fish7_PondOutcome,90
Pond3Fish7_TotalOutcome,880
Pond3Fish7_TimeLeft,282.178
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.727
Pond3Fish8_PondTime,61.384
Pond3Fish8_PondOutcome,100
Pond3Fish8_TotalOutcome,890
Pond3Fish8_TimeLeft,273.097
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.129
Pond3Fish9_PondTime,71.319
Pond3Fish9_PondOutcome,110
Pond3Fish9_TotalOutcome,900
Pond3Fish9_TimeLeft,263.162
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,2.058
Pond3Fish10_PondTime,82.409
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,910
Pond3Fish10_TimeLeft,252.072
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.008
Pond3Fish11_PondTime,94.888
Pond3Fish11_PondOutcome,130
Pond3Fish11_TotalOutcome,920
Pond3Fish11_TimeLeft,239.593
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.165
Pond3Fish12_PondTime,109.335
Pond3Fish12_PondOutcome,140
Pond3Fish12_TotalOutcome,930
Pond3Fish12_TimeLeft,225.146
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,0.667
PondTime,109.375
TimeLeft,224.601
PondOutcome,140
TotalOutcome,930
PondStart,PondStart
PondIntroTime,18.030465403571725
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.174
Pond2Fish1_PondTime,9.336
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,940
Pond2Fish1_TimeLeft,196.587
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5
