,5e14318a2fc478a3fba28d4c
Pond9Fish6_PondTime,73.397
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,820
Pond9Fish6_TimeLeft,319.017
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,0.893
Pond9Fish7_PondTime,90.397
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,830
Pond9Fish7_TimeLeft,302.017
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.175
Pond9Fish8_PondTime,108.398
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,840
Pond9Fish8_TimeLeft,284.016
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,0.518
PondTime,127.014
TimeLeft,264.899
PondOutcome,80
TotalOutcome,840
PondStart,PondStart
PondIntroTime,10.043296602088958
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.836
Pond3Fish1_PondTime,10.993
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,860
Pond3Fish1_TimeLeft,242.017
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.877
Pond3Fish2_PondTime,19.993
Pond3Fish2_PondOutcome,40
Pond3Fish2_TotalOutcome,880
Pond3Fish2_TimeLeft,233.017
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.837
Pond3Fish3_PondTime,30.993
Pond3Fish3_PondOutcome,50
Pond3Fish3_TotalOutcome,890
Pond3Fish3_TimeLeft,222.017
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.088
Pond3Fish4_PondTime,42.993
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,900
Pond3Fish4_TimeLeft,210.017
Type,RT
FishN,18
Fish,5
