,5b97683595c5ba00010ac439
Pond5Fish16_FishLatency,20
Pond5Fish16_CatchTime,1.024
Pond5Fish16_PondTime,187.673
Pond5Fish16_PondOutcome,150
Pond5Fish16_TotalOutcome,570
Pond5Fish16_TimeLeft,526.933
Type,RT
FishN,18
Fish,17
Pond5Fish17_FishType,purple
Pond5Fish17_FishLatency,30
Pond5Fish17_CatchTime,1.959
Pond5Fish17_PondTime,250.347
Pond5Fish17_PondOutcome,160
Pond5Fish17_TotalOutcome,580
Pond5Fish17_TimeLeft,464.259
Type,RT
FishN,18
Fish,18
Pond5Fish18_FishType,purple
Pond5Fish18_FishLatency,60
Pond5Fish18_CatchTime,-1
Pond5Fish18_PondTime,252.781
Pond5Fish18_PondOutcome,160
Pond5Fish18_TotalOutcome,580
Pond5Fish18_TimeLeft,461.825
PondEnd_LastFish,18
FishN,18
Type,RT
GiveUpTime,43.491
PondTime,293.736
TimeLeft,420.365
PondOutcome,160
TotalOutcome,580
PondStart,PondStart
PondIntroTime,17.284393422305584
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.858
Pond7Fish1_PondTime,8.581
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,590
Pond7Fish1_TimeLeft,393.873
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.932
Pond7Fish2_PondTime,15.569
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,600
Pond7Fish2_TimeLeft,386.885
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.844
Pond7Fish3_PondTime,22.988
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,610
Pond7Fish3_TimeLeft,379.466
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.137
Pond7Fish4_PondTime,30.836
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,620
Pond7Fish4_TimeLeft,371.618
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.943
Pond7Fish5_PondTime,39.207
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,630
Pond7Fish5_TimeLeft,363.247
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.752
Pond7Fish6_PondTime,48.278
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,640
Pond7Fish6_TimeLeft,354.176
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.791
Pond7Fish7_PondTime,58.147
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,650
Pond7Fish7_TimeLeft,344.307
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.902
Pond7Fish8_PondTime,69.167
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,660
Pond7Fish8_TimeLeft,333.287
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.207
