,5c1e0b02cb7ecd0001f49b87
Pond4Fish3_TimeLeft,493.038
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.047
Pond4Fish4_PondTime,30.695
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,630
Pond4Fish4_TimeLeft,485.226
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.99
Pond4Fish5_PondTime,39.054
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,640
Pond4Fish5_TimeLeft,476.868
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.056
Pond4Fish6_PondTime,48.078
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,650
Pond4Fish6_TimeLeft,467.844
PondEnd_LastFish,6
FishN,15
Type,RT
GiveUpTime,0.455
PondTime,57.638
TimeLeft,457.779
PondOutcome,70
TotalOutcome,650
PondStart,PondStart
PondIntroTime,16.69415261829272
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.962
Pond3Fish1_PondTime,7.803
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,660
Pond3Fish1_TimeLeft,432.599
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.005
Pond3Fish2_PondTime,13.911
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,680
Pond3Fish2_TimeLeft,426.491
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.839
Pond3Fish3_PondTime,20.269
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,690
Pond3Fish3_TimeLeft,420.132
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.812
Pond3Fish4_PondTime,26.913
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,700
Pond3Fish4_TimeLeft,413.489
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.92
Pond3Fish5_PondTime,33.888
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,710
Pond3Fish5_TimeLeft,406.514
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.225
Pond3Fish6_PondTime,41.246
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,720
Pond3Fish6_TimeLeft,399.156
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.756
Pond3Fish7_PondTime,49.073
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,730
Pond3Fish7_TimeLeft,391.329
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.712
Pond3Fish8_PondTime,57.46
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,740
Pond3Fish8_TimeLeft,382.942
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.058
Pond3Fish9_PondTime,66.484
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,750
Pond3Fish9_TimeLeft,373.918
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,0.667
PondTime,76.158
TimeLeft,363.738
PondOutcome,100
TotalOutcome,750
PondStart,PondStart
PondIntroTime,14.973757949192077
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.1
Pond5Fish1_PondTime,9.723
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,760
Pond5Fish1_TimeLeft,338.383
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.744
Pond5Fish2_PondTime,18.079
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,770
Pond5Fish2_TimeLeft,330.027
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.013
Pond5Fish3_PondTime,27.104
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,780
Pond5Fish3_TimeLeft,321.002
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.89
Pond5Fish4_PondTime,36.989
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,790
Pond5Fish4_TimeLeft,311.117
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,0.371
PondTime,47.504
TimeLeft,300.097
PondOutcome,40
TotalOutcome,790
PondStart,PondStart
PondIntroTime,10.625073725823313
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.029
Pond11Fish1_PondTime,8.884
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,800
Pond11Fish1_TimeLeft,279.903
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.143
Pond11Fish2_PondTime,16.241
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,810
Pond11Fish2_TimeLeft,272.546
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.496
Pond11Fish3_PondTime,24.053
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,820
Pond11Fish3_TimeLeft,264.733
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.956
Pond11Fish4_PondTime,32.94
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,830
Pond11Fish4_TimeLeft,255.847
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.861
Pond11Fish5_PondTime,41.963
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,840
Pond11Fish5_TimeLeft,246.823
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.04
Pond11Fish6_PondTime,51.823
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,850
Pond11Fish6_TimeLeft,236.964
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,0.52
PondTime,62.37
TimeLeft,225.91
PondOutcome,60
TotalOutcome,850
PondStart,PondStart
PondIntroTime,18.850244996137917
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.025
Pond8Fish1_PondTime,8.555
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,860
Pond8Fish1_TimeLeft,197.859
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.116
Pond8Fish2_PondTime,15.527
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,870
Pond8Fish2_TimeLeft,190.887
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.869
