,5d5f0b2e0e71190019c643f7
Pond8Fish7_TimeLeft,466.328
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.857
Pond8Fish8_PondTime,91.995
Pond8Fish8_PondOutcome,110
Pond8Fish8_TotalOutcome,610
Pond8Fish8_TimeLeft,448.971
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,17.356
PondTime,108.414
TimeLeft,432.049
PondOutcome,110
TotalOutcome,610
PondStart,PondStart
PondIntroTime,12.309022448025644
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.665
Pond2Fish1_PondTime,8.034
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,630
Pond2Fish1_TimeLeft,409.889
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.756
Pond2Fish2_PondTime,14.398
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,640
Pond2Fish2_TimeLeft,403.525
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.971
Pond2Fish3_PondTime,21.045
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,650
Pond2Fish3_TimeLeft,396.878
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.975
Pond2Fish4_PondTime,28.023
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,660
Pond2Fish4_TimeLeft,389.9
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.33
Pond2Fish5_PondTime,35.388
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,670
Pond2Fish5_TimeLeft,382.535
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.655
Pond2Fish6_PondTime,43.201
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,680
Pond2Fish6_TimeLeft,374.722
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.84
Pond2Fish7_PondTime,51.564
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,690
Pond2Fish7_TimeLeft,366.358
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.964
Pond2Fish8_PondTime,60.594
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,700
Pond2Fish8_TimeLeft,357.329
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.805
Pond2Fish9_PondTime,70.457
Pond2Fish9_PondOutcome,100
