,E
Pond9Fish7_TimeLeft,558.559
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.154
Pond9Fish8_PondTime,60.75
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,630
Pond9Fish8_TimeLeft,549.507
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.791
Pond9Fish9_PondTime,70.629
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,640
Pond9Fish9_TimeLeft,539.628
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.01
Pond9Fish10_PondTime,81.583
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,650
Pond9Fish10_TimeLeft,528.673
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.883
Pond9Fish11_PondTime,93.981
Pond9Fish11_PondOutcome,130
Pond9Fish11_TotalOutcome,660
Pond9Fish11_TimeLeft,516.276
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.002
Pond9Fish12_PondTime,108.36
Pond9Fish12_PondOutcome,140
Pond9Fish12_TotalOutcome,670
Pond9Fish12_TimeLeft,501.897
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,0.906
Pond9Fish13_PondTime,125.739
Pond9Fish13_PondOutcome,150
Pond9Fish13_TotalOutcome,680
Pond9Fish13_TimeLeft,484.518
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,10.107
PondTime,134.955
TimeLeft,474.8
PondOutcome,150
TotalOutcome,680
PondStart,PondStart
PondIntroTime,15.552037458401173
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.758
