,5c13e9a2b2746e00012c4580
Pond9Fish2_PondTime,13.484
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,500
Pond9Fish2_TimeLeft,642.953
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.176
Pond9Fish3_PondTime,19.601
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,510
Pond9Fish3_TimeLeft,636.836
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.115
Pond9Fish4_PondTime,25.968
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,520
Pond9Fish4_TimeLeft,630.469
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,golden
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.089
Pond9Fish5_PondTime,32.619
Pond9Fish5_PondOutcome,70
Pond9Fish5_TotalOutcome,540
Pond9Fish5_TimeLeft,623.818
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.931
Pond9Fish6_PondTime,39.602
Pond9Fish6_PondOutcome,80
Pond9Fish6_TotalOutcome,550
Pond9Fish6_TimeLeft,616.835
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.17
Pond9Fish7_PondTime,46.969
Pond9Fish7_PondOutcome,90
Pond9Fish7_TotalOutcome,560
Pond9Fish7_TimeLeft,609.468
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.204
Pond9Fish8_PondTime,54.786
Pond9Fish8_PondOutcome,110
Pond9Fish8_TotalOutcome,580
Pond9Fish8_TimeLeft,601.651
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,-1
Pond9Fish9_PondTime,63.2
Pond9Fish9_PondOutcome,110
Pond9Fish9_TotalOutcome,580
Pond9Fish9_TimeLeft,593.237
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.761
Pond9Fish10_PondTime,72.236
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,590
Pond9Fish10_TimeLeft,584.201
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.929
Pond9Fish11_PondTime,82.102
Pond9Fish11_PondOutcome,130
Pond9Fish11_TotalOutcome,600
Pond9Fish11_TimeLeft,574.335
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.963
Pond9Fish12_PondTime,93.036
Pond9Fish12_PondOutcome,140
Pond9Fish12_TotalOutcome,610
Pond9Fish12_TimeLeft,563.401
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.517
Pond9Fish13_PondTime,105.403
Pond9Fish13_PondOutcome,150
Pond9Fish13_TotalOutcome,620
Pond9Fish13_TimeLeft,551.034
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.954
Pond9Fish14_PondTime,119.77
Pond9Fish14_PondOutcome,160
Pond9Fish14_TotalOutcome,630
Pond9Fish14_TimeLeft,536.667
Type,RT
FishN,12
Fish,15
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.251
Pond9Fish15_PondTime,137.137
Pond9Fish15_PondOutcome,170
Pond9Fish15_TotalOutcome,640
Pond9Fish15_TimeLeft,519.3
Type,RT
FishN,12
Fish,16
Pond9Fish16_FishType,purple
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,1.162
Pond9Fish16_PondTime,159.503
Pond9Fish16_PondOutcome,180
Pond9Fish16_TotalOutcome,650
Pond9Fish16_TimeLeft,496.934
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,0.965
PondTime,159.834
TimeLeft,496.101
PondOutcome,180
TotalOutcome,650
PondStart,PondStart
PondIntroTime,19.147076033987105
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.114
Pond6Fish1_PondTime,8.018
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,660
Pond6Fish1_TimeLeft,468.332
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.194
Pond6Fish2_PondTime,14.385
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,680
Pond6Fish2_TimeLeft,461.965
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.21
Pond6Fish3_PondTime,21.034
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,690
Pond6Fish3_TimeLeft,455.316
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.828
Pond6Fish4_PondTime,28.019
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,700
Pond6Fish4_TimeLeft,448.331
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.046
Pond6Fish5_PondTime,35.386
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,710
Pond6Fish5_TimeLeft,440.964
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.147
Pond6Fish6_PondTime,43.202
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,720
Pond6Fish6_TimeLeft,433.148
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.449
Pond6Fish7_PondTime,51.57
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,730
Pond6Fish7_TimeLeft,424.78
Type,RT
FishN,17
Fish,8
