,5cc4e12d155841001b26c35f
Pond3Fish6_TimeLeft,483.177
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.951
Pond3Fish7_PondTime,49.151
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,650
Pond3Fish7_TimeLeft,475.343
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.165
Pond3Fish8_PondTime,57.523
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,660
Pond3Fish8_TimeLeft,466.971
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.18
Pond3Fish9_PondTime,66.56
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,670
Pond3Fish9_TimeLeft,457.934
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.262
Pond3Fish10_PondTime,76.439
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,680
Pond3Fish10_TimeLeft,448.055
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.173
Pond3Fish11_PondTime,87.391
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,690
Pond3Fish11_TimeLeft,437.103
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.29
Pond3Fish12_PondTime,99.766
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,700
Pond3Fish12_TimeLeft,424.728
PondEnd_LastFish,12
FishN,18
Type,RT
GiveUpTime,2.62
PondTime,101.884
TimeLeft,422.107
PondOutcome,120
TotalOutcome,700
PondStart,PondStart
PondIntroTime,10.984740341082215
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.311
Pond1Fish1_PondTime,7.621
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,710
Pond1Fish1_TimeLeft,402.882
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.424
Pond1Fish2_PondTime,13.525
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,720
Pond1Fish2_TimeLeft,396.978
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.438
Pond1Fish3_PondTime,19.642
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,730
Pond1Fish3_TimeLeft,390.861
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.399
Pond1Fish4_PondTime,26.009
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,740
Pond1Fish4_TimeLeft,384.494
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.157
Pond1Fish5_PondTime,32.667
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,750
Pond1Fish5_TimeLeft,377.836
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.206
Pond1Fish6_PondTime,39.664
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,760
Pond1Fish6_TimeLeft,370.839
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.143
Pond1Fish7_PondTime,47.041
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,770
Pond1Fish7_TimeLeft,363.462
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.929
Pond1Fish8_PondTime,54.87
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,780
Pond1Fish8_TimeLeft,355.633
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.875
Pond1Fish9_PondTime,63.243
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,790
Pond1Fish9_TimeLeft,347.26
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.122
Pond1Fish10_PondTime,72.284
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,800
Pond1Fish10_TimeLeft,338.219
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.448
Pond1Fish11_PondTime,82.162
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,810
Pond1Fish11_TimeLeft,328.341
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,golden
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.012
Pond1Fish12_PondTime,93.099
Pond1Fish12_PondOutcome,130
Pond1Fish12_TotalOutcome,830
Pond1Fish12_TimeLeft,317.404
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,1.254
PondTime,93.569
TimeLeft,316.43
PondOutcome,130
TotalOutcome,830
PondStart,PondStart
PondIntroTime,10.03596328664571
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,golden
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.234
Pond8Fish1_PondTime,9.281
Pond8Fish1_PondOutcome,20
Pond8Fish1_TotalOutcome,850
Pond8Fish1_TimeLeft,296.487
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.324
Pond8Fish2_PondTime,17.102
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,860
Pond8Fish2_TimeLeft,288.666
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.119
Pond8Fish3_PondTime,25.473
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,870
Pond8Fish3_TimeLeft,280.295
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.544
Pond8Fish4_PondTime,34.508
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,880
Pond8Fish4_TimeLeft,271.26
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.283
Pond8Fish5_PondTime,44.381
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,890
Pond8Fish5_TimeLeft,261.387
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.431
Pond8Fish6_PondTime,55.318
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,900
Pond8Fish6_TimeLeft,250.45
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.046
Pond8Fish7_PondTime,67.697
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,910
Pond8Fish7_TimeLeft,238.071
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,golden
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.055
Pond8Fish8_PondTime,82.059
Pond8Fish8_PondOutcome,100
Pond8Fish8_TotalOutcome,930
Pond8Fish8_TimeLeft,223.709
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.104
Pond8Fish9_PondTime,99.439
Pond8Fish9_PondOutcome,110
Pond8Fish9_TotalOutcome,940
Pond8Fish9_TimeLeft,206.329
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.794
PondTime,99.534
TimeLeft,205.731
PondOutcome,110
TotalOutcome,940
PondStart,PondStart
PondIntroTime,19.591129024047405
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.134
Pond4Fish1_PondTime,9.739
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,950
Pond4Fish1_TimeLeft,175.787
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
