,5da42ce2aebbe900133d9d18
Pond4Fish5_TimeLeft,395.27
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.641
Pond4Fish6_PondTime,45.871
Pond4Fish6_PondOutcome,40
Pond4Fish6_TotalOutcome,700
Pond4Fish6_TimeLeft,386.88
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,golden
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.127
Pond4Fish7_PondTime,54.925
Pond4Fish7_PondOutcome,60
Pond4Fish7_TotalOutcome,720
Pond4Fish7_TimeLeft,377.826
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.689
Pond4Fish8_PondTime,64.813
Pond4Fish8_PondOutcome,70
Pond4Fish8_TotalOutcome,730
Pond4Fish8_TimeLeft,367.939
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.789
Pond4Fish9_PondTime,75.766
Pond4Fish9_PondOutcome,80
Pond4Fish9_TotalOutcome,740
Pond4Fish9_TimeLeft,356.985
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.936
Pond4Fish10_PondTime,88.14
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,750
Pond4Fish10_TimeLeft,344.612
PondEnd_LastFish,10
FishN,16
Type,RT
GiveUpTime,0.762
PondTime,102.215
TimeLeft,330.029
PondOutcome,90
TotalOutcome,750
PondStart,PondStart
PondIntroTime,12.962975120171905
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.715
Pond6Fish1_PondTime,7.815
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,760
Pond6Fish1_TimeLeft,308.605
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.917
Pond6Fish2_PondTime,13.955
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,770
Pond6Fish2_TimeLeft,302.465
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.101
Pond6Fish3_PondTime,20.346
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,780
Pond6Fish3_TimeLeft,296.073
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.791
Pond6Fish4_PondTime,27.009
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,790
Pond6Fish4_TimeLeft,289.41
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.733
Pond6Fish5_PondTime,34.038
