,5ba88ccbdd59150001381091
Pond5Fish13_FishType,golden
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.009
Pond5Fish13_PondTime,141.779
Pond5Fish13_PondOutcome,150
Pond5Fish13_TotalOutcome,540
Pond5Fish13_TimeLeft,640.869
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,20
Pond5Fish14_CatchTime,1.106
Pond5Fish14_PondTime,174.144
Pond5Fish14_PondOutcome,160
Pond5Fish14_TotalOutcome,550
Pond5Fish14_TimeLeft,608.504
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,0.953
PondTime,174.413
TimeLeft,607.734
PondOutcome,160
TotalOutcome,550
PondStart,PondStart
PondIntroTime,15.387603968847543
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.95
Pond6Fish1_PondTime,9.717
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,560
Pond6Fish1_TimeLeft,582.005
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.064
Pond6Fish2_PondTime,18.084
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,570
Pond6Fish2_TimeLeft,573.638
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.943
Pond6Fish3_PondTime,27.134
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,580
Pond6Fish3_TimeLeft,564.588
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.052
Pond6Fish4_PondTime,37
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,590
Pond6Fish4_TimeLeft,554.722
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.399
Pond6Fish5_PondTime,47.949
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,600
Pond6Fish5_TimeLeft,543.773
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.368
Pond6Fish6_PondTime,60.316
