,5b222aff59f9620001c109cb
Pond12_Type,RD
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.412
Pond12Fish2_PondTime,33.355
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,584
Pond12Fish2_TimeLeft,662.925
Pond12_Type,RD
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.06
Pond12Fish3_PondTime,40.359
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,596
Pond12Fish3_TimeLeft,655.921
Pond12_Type,RD
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.973
Pond12Fish4_PondTime,47.78
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,608
Pond12Fish4_TimeLeft,648.501
Pond12_Type,RD
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.964
Pond12Fish5_PondTime,55.617
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,610
Pond12Fish5_TimeLeft,640.664
Pond12_Type,RD
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.07
Pond12Fish6_PondTime,64.025
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,622
Pond12Fish6_TimeLeft,632.256
Pond12_Type,RD
Pond12Fish7_FishType,gray
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.272
Pond12Fish7_PondTime,73.083
Pond12Fish7_PondOutcome,64
Pond12Fish7_TotalOutcome,624
Pond12Fish7_TimeLeft,623.198
Pond12_Type,RD
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.925
Pond12Fish8_PondTime,82.97
Pond12Fish8_PondOutcome,76
Pond12Fish8_TotalOutcome,636
Pond12Fish8_TimeLeft,613.31
