,5ccaf456a3decc00181d5b05
Pond6Fish8_CatchTime,0.894
Pond6Fish8_PondTime,74.59
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,736
Pond6Fish8_TimeLeft,373.452
Pond6_Type,RD
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.08
Pond6Fish9_PondTime,82.965
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,748
Pond6Fish9_TimeLeft,365.077
Pond6_Type,RD
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.143
Pond6Fish10_PondTime,92.002
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,760
Pond6Fish10_TimeLeft,356.039
Pond6_Type,RD
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.976
Pond6Fish11_PondTime,101.877
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,772
Pond6Fish11_TimeLeft,346.165
Pond6_Type,RD
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.075
Pond6Fish12_PondTime,112.82
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,784
Pond6Fish12_TimeLeft,335.222
Pond6_GiveUpTime,0.729
Pond6_PondTime,125.502
Pond6_PondOutcome,134
Pond6_TotalOutcome,784
Pond6_TimeLeft,322.54
Pond9IntroTime,13.295204357709736
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.988
Pond9Fish1_PondTime,21.54
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,796
Pond9Fish1_TimeLeft,300.999
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.783
Pond9Fish2_PondTime,27.447
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,808
Pond9Fish2_TimeLeft,295.093
Pond9_Type,RD
