,5d6e3802ec4df400153b7ed4
Pond12_PondTime,121.257
Pond12_PondOutcome,122
Pond12_TotalOutcome,836
Pond12_TimeLeft,348.323
Pond8IntroTime,11.311844910960644
Pond8_Type,RD
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.297
Pond8Fish1_PondTime,19.977
Pond8Fish1_PondOutcome,2
Pond8Fish1_TotalOutcome,838
Pond8Fish1_TimeLeft,328.346
Pond8_Type,RD
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.905
Pond8Fish2_PondTime,26.35
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,850
Pond8Fish2_TimeLeft,321.973
Pond8_Type,RD
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.057
Pond8Fish3_PondTime,33.022
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,862
Pond8Fish3_TimeLeft,315.3
Pond8_Type,RD
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.274
Pond8Fish4_PondTime,40.022
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,874
Pond8Fish4_TimeLeft,308.301
Pond8_Type,RD
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.145
Pond8Fish5_PondTime,47.401
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,886
Pond8Fish5_TimeLeft,300.922
Pond8_Type,RD
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.102
Pond8Fish6_PondTime,55.236
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,898
Pond8Fish6_TimeLeft,293.086
Pond8_Type,RD
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.253
Pond8Fish7_PondTime,63.627
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,900
Pond8Fish7_TimeLeft,284.696
Pond8_Type,RD
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,1.247
Pond8Fish8_PondTime,72.684
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,912
Pond8Fish8_TimeLeft,275.639
Pond8_Type,RD
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.29
Pond8Fish9_PondTime,82.573
Pond8Fish9_PondOutcome,78
Pond8Fish9_TotalOutcome,914
Pond8Fish9_TimeLeft,265.75
Pond8_Type,RD
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,1.271
Pond8Fish10_PondTime,93.522
Pond8Fish10_PondOutcome,90
