,5dc533aa02e9a93c00d9e3ff
Pond4Fish10_TimeLeft,461.229
Pond4_GiveUpTime,0.774
Pond4_PondTime,105.363
Pond4_PondOutcome,120
Pond4_TotalOutcome,720
Pond4_TimeLeft,448.439
Pond1IntroTime,10.662808292545378
Pond1_Type,RT
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.825
Pond1Fish1_PondTime,21.037
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,730
Pond1Fish1_TimeLeft,427.402
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.855
Pond1Fish2_PondTime,29.397
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,740
Pond1Fish2_TimeLeft,419.042
Pond1_GiveUpTime,0.974
Pond1_PondTime,38.774
Pond1_PondOutcome,20
Pond1_TotalOutcome,740
Pond1_TimeLeft,409.665
Pond7IntroTime,19.446145188994706
Pond7_Type,RT
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.04
Pond7Fish1_PondTime,29.82
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,750
Pond7Fish1_TimeLeft,379.844
Pond7_Type,RT
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.56
Pond7Fish2_PondTime,38.188
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,760
Pond7Fish2_TimeLeft,371.477
Pond7_Type,RT
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,-1
Pond7Fish3_PondTime,47.296
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,760
Pond7Fish3_TimeLeft,362.369
Pond7_Type,RT
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.051
Pond7Fish4_PondTime,57.18
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,770
Pond7Fish4_TimeLeft,352.485
Pond7_Type,RT
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.058
Pond7Fish5_PondTime,68.138
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,780
Pond7Fish5_TimeLeft,341.527
Pond7_GiveUpTime,1.001
