,5c840aedbad8fb000106cb44
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,650
Pond11Fish6_TimeLeft,465.452
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.703
Pond11Fish7_PondTime,51.554
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,662
Pond11Fish7_TimeLeft,457.096
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,gray
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.792
Pond11Fish8_PondTime,60.576
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,664
Pond11Fish8_TimeLeft,448.074
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.621
Pond11Fish9_PondTime,70.439
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,676
Pond11Fish9_TimeLeft,438.211
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.648
Pond11Fish10_PondTime,81.371
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,688
Pond11Fish10_TimeLeft,427.279
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,0.683
Pond11Fish11_PondTime,93.732
Pond11Fish11_PondOutcome,122
Pond11Fish11_TotalOutcome,700
Pond11Fish11_TimeLeft,414.918
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,0.666
Pond11Fish12_PondTime,108.093
Pond11Fish12_PondOutcome,134
Pond11Fish12_TotalOutcome,712
Pond11Fish12_TimeLeft,400.557
Type,RD
FishN,16
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,-1
Pond11Fish13_PondTime,125.512
Pond11Fish13_PondOutcome,134
Pond11Fish13_TotalOutcome,712
Pond11Fish13_TimeLeft,383.138
Type,RD
FishN,16
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,15
Pond11Fish14_CatchTime,1.339
Pond11Fish14_PondTime,147.868
Pond11Fish14_PondOutcome,146
Pond11Fish14_TotalOutcome,724
Pond11Fish14_TimeLeft,360.782
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,0.609
PondTime,148.017
TimeLeft,360.131
PondOutcome,146
TotalOutcome,724
PondStart,PondStart
PondIntroTime,11.991910613141954
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,9.323
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,724
Pond2Fish1_TimeLeft,338.197
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.368
Pond2Fish2_PondTime,17.142
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,736
Pond2Fish2_TimeLeft,330.378
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.9
Pond2Fish3_PondTime,25.499
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,748
Pond2Fish3_TimeLeft,322.021
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.587
Pond2Fish4_PondTime,34.522
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,760
Pond2Fish4_TimeLeft,312.998
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.77
Pond2Fish5_PondTime,44.385
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,772
Pond2Fish5_TimeLeft,303.135
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.574
Pond2Fish6_PondTime,55.316
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,784
Pond2Fish6_TimeLeft,292.204
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.838
Pond2Fish7_PondTime,67.676
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,796
Pond2Fish7_TimeLeft,279.844
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.716
Pond2Fish8_PondTime,82.037
Pond2Fish8_PondOutcome,84
Pond2Fish8_TotalOutcome,808
Pond2Fish8_TimeLeft,265.483
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.86
Pond2Fish9_PondTime,99.403
Pond2Fish9_PondOutcome,96
Pond2Fish9_TotalOutcome,820
Pond2Fish9_TimeLeft,248.117
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.435
PondTime,121.387
TimeLeft,225.63
PondOutcome,96
TotalOutcome,820
PondStart,PondStart
PondIntroTime,18.926746346987784
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.6
Pond1Fish1_PondTime,8.028
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,832
Pond1Fish1_TimeLeft,198.051
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.832
Pond1Fish2_PondTime,14.394
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,844
Pond1Fish2_TimeLeft,191.685
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.627
Pond1Fish3_PondTime,21.042
Pond1Fish3_PondOutcome,36
