,57da96a2bcd7150001ded382
Pond1Fish9_CatchTime,1.148
Pond1Fish9_PondTime,114.794
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,694
Pond1Fish9_TimeLeft,374.316
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,2.101
PondTime,116.245
TimeLeft,372.36
PondOutcome,108
TotalOutcome,694
PondStart,PondStart
PondIntroTime,10.197188763413578
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.399
Pond10Fish1_PondTime,8.798
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,706
Pond10Fish1_TimeLeft,350.572
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.325
Pond10Fish2_PondTime,14.928
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,718
Pond10Fish2_TimeLeft,344.442
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.269
Pond10Fish3_PondTime,21.368
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,730
Pond10Fish3_TimeLeft,337.995
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.317
Pond10Fish4_PondTime,28.061
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,742
Pond10Fish4_TimeLeft,331.309
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.092
Pond10Fish5_PondTime,35.096
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,754
Pond10Fish5_TimeLeft,324.274
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.356
Pond10Fish6_PondTime,42.495
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,766
Pond10Fish6_TimeLeft,316.875
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.186
Pond10Fish7_PondTime,50.447
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,778
Pond10Fish7_TimeLeft,308.923
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.35
Pond10Fish8_PondTime,58.828
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,790
Pond10Fish8_TimeLeft,300.542
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,1.283
Pond10Fish9_PondTime,67.9
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,802
Pond10Fish9_TimeLeft,291.47
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,gray
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.325
Pond10Fish10_PondTime,77.809
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,804
Pond10Fish10_TimeLeft,281.561
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,1.18
Pond10Fish11_PondTime,88.766
Pond10Fish11_PondOutcome,122
