,5cb255402051100001c5d058
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.031
Pond1Fish7_PondTime,51.679
Pond1Fish7_PondOutcome,62
Pond1Fish7_TotalOutcome,544
Pond1Fish7_TimeLeft,669.569
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.873
Pond1Fish8_PondTime,60.903
Pond1Fish8_PondOutcome,74
Pond1Fish8_TotalOutcome,556
Pond1Fish8_TimeLeft,660.345
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.488
Pond1Fish9_PondTime,70.781
Pond1Fish9_PondOutcome,86
Pond1Fish9_TotalOutcome,568
Pond1Fish9_TimeLeft,650.466
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,1.289
Pond1Fish10_PondTime,81.726
Pond1Fish10_PondOutcome,98
Pond1Fish10_TotalOutcome,580
Pond1Fish10_TimeLeft,639.522
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.966
Pond1Fish11_PondTime,94.105
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,592
Pond1Fish11_TimeLeft,627.143
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,1.287
Pond1Fish12_PondTime,108.476
Pond1Fish12_PondOutcome,122
Pond1Fish12_TotalOutcome,604
Pond1Fish12_TimeLeft,612.772
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,1.286
PondTime,109.257
TimeLeft,611.482
PondOutcome,122
TotalOutcome,604
PondStart,PondStart
PondIntroTime,11.016316465102136
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.473
Pond5Fish1_PondTime,7.842
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,616
Pond5Fish1_TimeLeft,592.008
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.105
Pond5Fish2_PondTime,13.981
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,628
Pond5Fish2_TimeLeft,585.869
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.342
Pond5Fish3_PondTime,20.354
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,640
Pond5Fish3_TimeLeft,579.496
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.23
Pond5Fish4_PondTime,27.017
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,652
Pond5Fish4_TimeLeft,572.833
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,2.044
Pond5Fish5_PondTime,34.065
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,664
Pond5Fish5_TimeLeft,565.784
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.158
Pond5Fish6_PondTime,41.438
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,676
Pond5Fish6_TimeLeft,558.412
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.115
Pond5Fish7_PondTime,49.265
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,688
Pond5Fish7_TimeLeft,550.585
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.286
Pond5Fish8_PondTime,57.638
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,700
Pond5Fish8_TimeLeft,542.211
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.414
Pond5Fish9_PondTime,66.692
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,712
Pond5Fish9_TimeLeft,533.158
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.387
Pond5Fish10_PondTime,76.569
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,724
Pond5Fish10_TimeLeft,523.281
PondEnd_LastFish,10
FishN,18
Type,RD
GiveUpTime,1.584
PondTime,77.746
TimeLeft,521.599
PondOutcome,120
TotalOutcome,724
PondStart,PondStart
PondIntroTime,11.136548479553312
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.162
Pond10Fish1_PondTime,8.041
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,736
Pond10Fish1_TimeLeft,501.797
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.622
Pond10Fish2_PondTime,14.411
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,738
Pond10Fish2_TimeLeft,495.427
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.364
Pond10Fish3_PondTime,21.079
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,750
Pond10Fish3_TimeLeft,488.759
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.193
Pond10Fish4_PondTime,28.062
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,762
Pond10Fish4_TimeLeft,481.776
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.147
Pond10Fish5_PondTime,35.434
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,774
Pond10Fish5_TimeLeft,474.404
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.107
Pond10Fish6_PondTime,43.265
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,786
Pond10Fish6_TimeLeft,466.573
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.792
Pond10Fish7_PondTime,51.736
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,798
Pond10Fish7_TimeLeft,458.102
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.458
Pond10Fish8_PondTime,60.774
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,810
Pond10Fish8_TimeLeft,449.064
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.209
Pond10Fish9_PondTime,70.664
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,822
Pond10Fish9_TimeLeft,439.174
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,gray
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.217
Pond10Fish10_PondTime,81.61
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,824
Pond10Fish10_TimeLeft,428.228
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.472
Pond10Fish11_PondTime,93.983
Pond10Fish11_PondOutcome,112
Pond10Fish11_TotalOutcome,836
Pond10Fish11_TimeLeft,415.855
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,gray
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.622
Pond10Fish12_PondTime,108.355
Pond10Fish12_PondOutcome,114
Pond10Fish12_TotalOutcome,838
Pond10Fish12_TimeLeft,401.483
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,1.286
Pond10Fish13_PondTime,125.735
Pond10Fish13_PondOutcome,126
Pond10Fish13_TotalOutcome,850
Pond10Fish13_TimeLeft,384.103
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.971
PondTime,127.184
TimeLeft,382.146
PondOutcome,126
TotalOutcome,850
PondStart,PondStart
PondIntroTime,10.345797936897725
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.826
Pond6Fish1_PondTime,9.032
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,862
Pond6Fish1_TimeLeft,362.141
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.32
Pond6Fish2_PondTime,16.403
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,874
Pond6Fish2_TimeLeft,354.769
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,-1
