,5bec8599fdf8c50001d0d329
Pond11Fish4_PondTime,32.475
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,558
Pond11Fish4_TimeLeft,527.605
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.086
Pond11Fish5_PondTime,41.524
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,570
Pond11Fish5_TimeLeft,518.556
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.228
Pond11Fish6_PondTime,51.395
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,582
Pond11Fish6_TimeLeft,508.685
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.151
Pond11Fish7_PondTime,62.335
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,594
Pond11Fish7_TimeLeft,497.745
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.391
Pond11Fish8_PondTime,74.707
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,606
Pond11Fish8_TimeLeft,485.373
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.052
Pond11Fish9_PondTime,89.086
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,618
Pond11Fish9_TimeLeft,470.994
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,1.656
Pond11Fish10_PondTime,106.472
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,630
Pond11Fish10_TimeLeft,453.608
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,1.458
Pond11Fish11_PondTime,128.846
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,642
Pond11Fish11_TimeLeft,431.234
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,28.494
PondTime,157
TimeLeft,402.578
PondOutcome,132
TotalOutcome,642
PondStart,PondStart
PondIntroTime,16.918518983293325
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.233
Pond1Fish1_PondTime,9.737
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,654
Pond1Fish1_TimeLeft,375.297
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.983
Pond1Fish2_PondTime,18.116
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,666
Pond1Fish2_TimeLeft,366.918
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.024
Pond1Fish3_PondTime,27.163
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,678
Pond1Fish3_TimeLeft,357.871
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.147
Pond1Fish4_PondTime,37.032
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,690
Pond1Fish4_TimeLeft,348.002
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.031
Pond1Fish5_PondTime,47.973
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,702
Pond1Fish5_TimeLeft,337.061
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.989
Pond1Fish6_PondTime,60.362
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,714
Pond1Fish6_TimeLeft,324.672
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,gray
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.001
Pond1Fish7_PondTime,74.734
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,716
Pond1Fish7_TimeLeft,310.3
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.152
Pond1Fish8_PondTime,92.099
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,728
Pond1Fish8_TimeLeft,292.935
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.735
Pond1Fish9_PondTime,114.499
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,740
Pond1Fish9_TimeLeft,270.535
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,20
Pond1Fish10_CatchTime,1.265
Pond1Fish10_PondTime,146.872
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,752
Pond1Fish10_TimeLeft,238.162
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,12.397
PondTime,158.727
TimeLeft,225.802
PondOutcome,110
TotalOutcome,752
PondStart,PondStart
PondIntroTime,12.470763239543885
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.318
Pond5Fish1_PondTime,9.287
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,764
Pond5Fish1_TimeLeft,202.824
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.184
Pond5Fish2_PondTime,17.104
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,776
Pond5Fish2_TimeLeft,195.007
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.897
Pond5Fish3_PondTime,25.476
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,788
Pond5Fish3_TimeLeft,186.635
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.03
Pond5Fish4_PondTime,34.523
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,800
Pond5Fish4_TimeLeft,177.588
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.081
Pond5Fish5_PondTime,44.399
Pond5Fish5_PondOutcome,60
