,5788e1834a84da00014c4199
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.055
Pond1Fish3_PondTime,22.196
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,640
Pond1Fish3_TimeLeft,669.199
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,gray
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.224
Pond1Fish4_PondTime,29.217
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,642
Pond1Fish4_TimeLeft,662.178
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.933
Pond1Fish5_PondTime,36.924
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,654
Pond1Fish5_TimeLeft,654.471
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.389
Pond1Fish6_PondTime,44.874
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,666
Pond1Fish6_TimeLeft,646.521
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.027
Pond1Fish7_PondTime,53.281
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,678
Pond1Fish7_TimeLeft,638.114
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.237
Pond1Fish8_PondTime,62.356
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,690
Pond1Fish8_TimeLeft,629.039
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.925
Pond1Fish9_PondTime,72.269
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,702
Pond1Fish9_TimeLeft,619.126
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.904
Pond1Fish10_PondTime,83.251
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,714
Pond1Fish10_TimeLeft,608.143
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,1.056
PondTime,83.514
TimeLeft,607.371
PondOutcome,110
TotalOutcome,714
PondStart,PondStart
PondIntroTime,15.776129178702831
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.014
Pond3Fish1_PondTime,7.93
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,726
Pond3Fish1_TimeLeft,581.677
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.469
Pond3Fish2_PondTime,13.945
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,738
Pond3Fish2_TimeLeft,575.662
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.987
Pond3Fish3_PondTime,20.859
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,750
Pond3Fish3_TimeLeft,568.748
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
