,5c74edf1280f66001ad7ca29
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.275
Pond12Fish10_PondTime,95.647
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,512
Pond12Fish10_TimeLeft,699.471
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.301
Pond12Fish11_PondTime,113.015
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,524
Pond12Fish11_TimeLeft,682.103
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.932
PondTime,113.461
TimeLeft,681.152
PondOutcome,132
TotalOutcome,524
PondStart,PondStart
PondIntroTime,12.50187091063708
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.308
Pond6Fish1_PondTime,8.884
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,536
Pond6Fish1_TimeLeft,659.103
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.28
Pond6Fish2_PondTime,16.248
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,548
Pond6Fish2_TimeLeft,651.739
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.943
Pond6Fish3_PondTime,24.065
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,560
Pond6Fish3_TimeLeft,643.922
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.782
Pond6Fish4_PondTime,32.434
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,572
Pond6Fish4_TimeLeft,635.553
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
