,5b49d3a519f8e70001b7df02
Pond8Fish9_TotalOutcome,856
Pond8Fish9_TimeLeft,317.978
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.731
PondTime,106.464
TimeLeft,300.134
PondOutcome,108
TotalOutcome,856
PondStart,PondStart
PondIntroTime,14.991251167375594
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,gray
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,7.668
Pond9Fish1_PondOutcome,2
Pond9Fish1_TotalOutcome,858
Pond9Fish1_TimeLeft,276.829
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.061
Pond9Fish2_PondTime,13.58
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,870
Pond9Fish2_TimeLeft,270.917
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,gray
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.043
Pond9Fish3_PondTime,19.731
Pond9Fish3_PondOutcome,16
Pond9Fish3_TotalOutcome,872
Pond9Fish3_TimeLeft,264.766
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.229
Pond9Fish4_PondTime,26.117
Pond9Fish4_PondOutcome,28
Pond9Fish4_TotalOutcome,884
Pond9Fish4_TimeLeft,258.38
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.068
Pond9Fish5_PondTime,32.783
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,896
Pond9Fish5_TimeLeft,251.714
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.984
Pond9Fish6_PondTime,39.785
Pond9Fish6_PondOutcome,52
Pond9Fish6_TotalOutcome,908
Pond9Fish6_TimeLeft,244.712
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,gray
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.614
Pond9Fish7_PondTime,47.155
Pond9Fish7_PondOutcome,54
Pond9Fish7_TotalOutcome,910
Pond9Fish7_TimeLeft,237.342
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
