,5c94b4f457491c00165e25fd
Pond4Fish9_TimeLeft,370.696
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.934
Pond4Fish10_PondTime,91.412
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,672
Pond4Fish10_TimeLeft,358.311
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.284
Pond4Fish11_PondTime,105.814
Pond4Fish11_PondOutcome,122
Pond4Fish11_TotalOutcome,684
Pond4Fish11_TimeLeft,343.909
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.418
Pond4Fish12_PondTime,123.221
Pond4Fish12_PondOutcome,134
Pond4Fish12_TotalOutcome,696
Pond4Fish12_TimeLeft,326.502
Type,RD
FishN,17
Fish,13
Pond4Fish13_FishType,blue
Pond4Fish13_FishLatency,15
Pond4Fish13_CatchTime,1.002
Pond4Fish13_PondTime,145.635
Pond4Fish13_PondOutcome,146
Pond4Fish13_TotalOutcome,708
Pond4Fish13_TimeLeft,304.087
Type,RD
FishN,17
Fish,14
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,20
Pond4Fish14_CatchTime,1.129
Pond4Fish14_PondTime,178.994
Pond4Fish14_PondOutcome,158
Pond4Fish14_TotalOutcome,720
Pond4Fish14_TimeLeft,270.729
PondEnd_LastFish,14
FishN,16
Type,RD
GiveUpTime,38.977
PondTime,217.305
TimeLeft,231.914
PondOutcome,158
TotalOutcome,720
PondStart,PondStart
PondIntroTime,14.043625080958009
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.059
Pond10Fish1_PondTime,9.27
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,732
Pond10Fish1_TimeLeft,207.962
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.868
Pond10Fish2_PondTime,17.132
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,744
Pond10Fish2_TimeLeft,200.1
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.948
Pond10Fish3_PondTime,25.544
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,756
Pond10Fish3_TimeLeft,191.688
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.954
Pond10Fish4_PondTime,34.635
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,768
Pond10Fish4_TimeLeft,182.597
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.048
Pond10Fish5_PondTime,44.536
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,780
Pond10Fish5_TimeLeft,172.696
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.952
Pond10Fish6_PondTime,55.514
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,792
Pond10Fish6_TimeLeft,161.718
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.984
Pond10Fish7_PondTime,67.927
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,804
Pond10Fish7_TimeLeft,149.304
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.869
Pond10Fish8_PondTime,82.333
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,816
Pond10Fish8_TimeLeft,134.899
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,0.939
Pond10Fish9_PondTime,99.743
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,828
Pond10Fish9_TimeLeft,117.489
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,15
Pond10Fish10_CatchTime,1.856
Pond10Fish10_PondTime,122.316
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,840
Pond10Fish10_TimeLeft,94.916
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.587
PondTime,123.802
TimeLeft,92.924
PondOutcome,120
TotalOutcome,840
PondStart,PondStart
PondIntroTime,10.177375804632902
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.261
Pond6Fish1_PondTime,8.942
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,852
Pond6Fish1_TimeLeft,73.17
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.834
Pond6Fish2_PondTime,16.368
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,864
Pond6Fish2_TimeLeft,65.744
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.103
Pond6Fish3_PondTime,24.225
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,876
Pond6Fish3_TimeLeft,57.887
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.616
Pond6Fish4_PondTime,32.637
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,888
Pond6Fish4_TimeLeft,49.475
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.853
Pond6Fish5_PondTime,41.71
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,900
Pond6Fish5_TimeLeft,40.402
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.155
