,5d374fda6cb61f001936bdc9
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.273
Pond1Fish4_PondTime,30.818
Pond1Fish4_PondOutcome,36
Pond1Fish4_TotalOutcome,772
Pond1Fish4_TimeLeft,410.999
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.138
Pond1Fish5_PondTime,39.179
Pond1Fish5_PondOutcome,48
Pond1Fish5_TotalOutcome,784
Pond1Fish5_TimeLeft,402.638
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.234
Pond1Fish6_PondTime,48.223
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,796
Pond1Fish6_TimeLeft,393.594
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.141
Pond1Fish7_PondTime,58.09
Pond1Fish7_PondOutcome,72
Pond1Fish7_TotalOutcome,808
Pond1Fish7_TimeLeft,383.727
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.158
Pond1Fish8_PondTime,69.026
Pond1Fish8_PondOutcome,84
Pond1Fish8_TotalOutcome,820
Pond1Fish8_TimeLeft,372.791
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,0.973
Pond1Fish9_PondTime,81.39
Pond1Fish9_PondOutcome,96
Pond1Fish9_TotalOutcome,832
Pond1Fish9_TimeLeft,360.427
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,0.975
Pond1Fish10_PondTime,95.768
Pond1Fish10_PondOutcome,108
Pond1Fish10_TotalOutcome,844
Pond1Fish10_TimeLeft,346.049
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,gray
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.671
Pond1Fish11_PondTime,113.133
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,846
Pond1Fish11_TimeLeft,328.684
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,15
Pond1Fish12_CatchTime,1.119
Pond1Fish12_PondTime,135.51
Pond1Fish12_PondOutcome,122
Pond1Fish12_TotalOutcome,858
Pond1Fish12_TimeLeft,306.307
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,1.308
PondTime,136.15
TimeLeft,305.165
PondOutcome,122
TotalOutcome,858
PondStart,PondStart
PondIntroTime,18.319636853411794
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.247
Pond6Fish1_PondTime,8.571
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,870
Pond6Fish1_TimeLeft,277.664
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
