,5e1d90769138e00f5b759764
Pond11Fish10_TimeLeft,439.381
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.013
Pond11Fish11_PondTime,102.119
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,676
Pond11Fish11_TimeLeft,425.003
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.321
PondTime,119.013
TimeLeft,407.608
PondOutcome,132
TotalOutcome,676
PondStart,PondStart
PondIntroTime,10.38494212552905
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.018
Pond8Fish1_PondTime,9.28
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,688
Pond8Fish1_TimeLeft,387.321
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.101
Pond8Fish2_PondTime,17.127
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,690
Pond8Fish2_TimeLeft,379.474
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.969
Pond8Fish3_PondTime,25.49
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,702
Pond8Fish3_TimeLeft,371.111
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.868
Pond8Fish4_PondTime,34.519
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,714
Pond8Fish4_TimeLeft,362.082
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.102
Pond8Fish5_PondTime,44.398
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,716
Pond8Fish5_TimeLeft,352.203
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.743
Pond8Fish6_PondTime,55.326
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,728
Pond8Fish6_TimeLeft,341.275
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.231
Pond8Fish7_PondTime,67.685
Pond8Fish7_PondOutcome,54
Pond8Fish7_TotalOutcome,730
Pond8Fish7_TimeLeft,328.916
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,1.19
Pond8Fish8_PondTime,82.076
Pond8Fish8_PondOutcome,66
Pond8Fish8_TotalOutcome,742
Pond8Fish8_TimeLeft,314.525
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.472
Pond8Fish9_PondTime,99.452
Pond8Fish9_PondOutcome,78
Pond8Fish9_TotalOutcome,754
Pond8Fish9_TimeLeft,297.149
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.802
Pond8Fish10_PondTime,121.843
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,766
Pond8Fish10_TimeLeft,274.758
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,26.773
PondTime,147.63
TimeLeft,248.469
PondOutcome,90
TotalOutcome,766
PondStart,PondStart
PondIntroTime,17.843353124335408
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.851
Pond3Fish1_PondTime,8.582
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,778
Pond3Fish1_TimeLeft,221.401
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.054
Pond3Fish2_PondTime,15.595
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,790
Pond3Fish2_TimeLeft,214.388
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.772
Pond3Fish3_PondTime,22.961
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,802
Pond3Fish3_TimeLeft,207.022
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.049
Pond3Fish4_PondTime,30.804
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,804
Pond3Fish4_TimeLeft,199.179
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.788
Pond3Fish5_PondTime,39.184
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,816
Pond3Fish5_TimeLeft,190.799
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.907
Pond3Fish6_PondTime,48.23
Pond3Fish6_PondOutcome,52
Pond3Fish6_TotalOutcome,818
Pond3Fish6_TimeLeft,181.753
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.916
Pond3Fish7_PondTime,58.126
Pond3Fish7_PondOutcome,64
Pond3Fish7_TotalOutcome,830
Pond3Fish7_TimeLeft,171.857
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.973
Pond3Fish8_PondTime,69.07
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,842
Pond3Fish8_TimeLeft,160.913
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.722
Pond3Fish9_PondTime,81.465
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,854
Pond3Fish9_TimeLeft,148.518
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,0.963
Pond3Fish10_PondTime,95.855
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,866
Pond3Fish10_TimeLeft,134.128
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.532
PondTime,113.045
TimeLeft,116.436
PondOutcome,100
TotalOutcome,866
PondStart,PondStart
PondIntroTime,19.796857766341418
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,-1
