,5d02ba68604711000157c04e
Pond4Fish9_TotalOutcome,884
Pond4Fish9_TimeLeft,350.373
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.967
PondTime,90.448
TimeLeft,349.112
PondOutcome,98
TotalOutcome,884
PondStart,PondStart
PondIntroTime,10.982882417738438
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,7.714
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,884
Pond1Fish1_TimeLeft,329.673
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.757
Pond1Fish2_PondTime,13.721
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,896
Pond1Fish2_TimeLeft,323.667
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.377
Pond1Fish3_PondTime,19.886
Pond1Fish3_PondOutcome,24
Pond1Fish3_TotalOutcome,908
Pond1Fish3_TimeLeft,317.5
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.564
Pond1Fish4_PondTime,26.301
Pond1Fish4_PondOutcome,36
Pond1Fish4_TotalOutcome,920
Pond1Fish4_TimeLeft,311.087
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.623
Pond1Fish5_PondTime,32.979
Pond1Fish5_PondOutcome,38
Pond1Fish5_TotalOutcome,922
Pond1Fish5_TimeLeft,304.408
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.27
Pond1Fish6_PondTime,40.03
Pond1Fish6_PondOutcome,50
Pond1Fish6_TotalOutcome,934
Pond1Fish6_TimeLeft,297.357
Type,RD
FishN,19
Fish,7
