,5c4e3248ad466000019166df
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.058
Pond12Fish10_PondTime,76.391
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,668
Pond12Fish10_TimeLeft,450.199
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.125
Pond12Fish11_PondTime,87.323
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,680
Pond12Fish11_TimeLeft,439.267
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,1.328
Pond12Fish12_PondTime,99.681
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,692
Pond12Fish12_TimeLeft,426.909
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,1.181
Pond12Fish13_PondTime,114.06
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,704
Pond12Fish13_TimeLeft,412.53
Type,RD
FishN,15
Fish,14
Pond12Fish14_FishType,blue
Pond12Fish14_FishLatency,12
Pond12Fish14_CatchTime,0.975
Pond12Fish14_PondTime,131.434
Pond12Fish14_PondOutcome,158
Pond12Fish14_TotalOutcome,716
Pond12Fish14_TimeLeft,395.156
Type,RD
FishN,15
Fish,15
Pond12Fish15_FishType,blue
Pond12Fish15_FishLatency,15
Pond12Fish15_CatchTime,1.456
Pond12Fish15_PondTime,153.8
Pond12Fish15_PondOutcome,170
Pond12Fish15_TotalOutcome,728
Pond12Fish15_TimeLeft,372.79
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,1.173
PondTime,154.644
TimeLeft,371.443
PondOutcome,170
TotalOutcome,728
PondStart,PondStart
PondIntroTime,13.28996081603691
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.468
Pond7Fish1_PondTime,8.287
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,740
Pond7Fish1_TimeLeft,349.249
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.985
Pond7Fish2_PondTime,14.928
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,752
Pond7Fish2_TimeLeft,342.608
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.926
Pond7Fish3_PondTime,21.917
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,764
Pond7Fish3_TimeLeft,335.619
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.953
Pond7Fish4_PondTime,29.281
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,776
Pond7Fish4_TimeLeft,328.255
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5
