,580241d0279ffd000124e3e3
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,464
Pond3Fish3_TimeLeft,639.353
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.781
Pond3Fish4_PondTime,36.991
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,476
Pond3Fish4_TimeLeft,629.497
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.93
Pond3Fish5_PondTime,47.922
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,488
Pond3Fish5_TimeLeft,618.566
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.856
Pond3Fish6_PondTime,60.291
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,500
Pond3Fish6_TimeLeft,606.197
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.175
Pond3Fish7_PondTime,74.66
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,512
Pond3Fish7_TimeLeft,591.828
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.085
Pond3Fish8_PondTime,92.023
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,524
Pond3Fish8_TimeLeft,574.465
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,0.782
Pond3Fish9_PondTime,114.391
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,536
Pond3Fish9_TimeLeft,552.097
Type,RD
FishN,15
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,20
Pond3Fish10_CatchTime,0.839
Pond3Fish10_PondTime,146.765
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,548
Pond3Fish10_TimeLeft,519.723
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,2.138
PondTime,147.941
TimeLeft,518.046
PondOutcome,120
TotalOutcome,548
PondStart,PondStart
PondIntroTime,16.07504123589024
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.92
Pond8Fish1_PondTime,9.269
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,560
Pond8Fish1_TimeLeft,492.081
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.98
Pond8Fish2_PondTime,17.096
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,572
Pond8Fish2_TimeLeft,484.254
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.743
Pond8Fish3_PondTime,25.465
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,584
Pond8Fish3_TimeLeft,475.885
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.034
Pond8Fish4_PondTime,34.507
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,596
Pond8Fish4_TimeLeft,466.843
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.928
Pond8Fish5_PondTime,44.373
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,608
Pond8Fish5_TimeLeft,456.977
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,0.856
Pond8Fish6_PondTime,55.307
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,620
Pond8Fish6_TimeLeft,446.043
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,1.043
Pond8Fish7_PondTime,67.676
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,632
Pond8Fish7_TimeLeft,433.674
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.736
Pond8Fish8_PondTime,82.045
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,644
Pond8Fish8_TimeLeft,419.305
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.151
Pond8Fish9_PondTime,99.41
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,656
Pond8Fish9_TimeLeft,401.94
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.921
Pond8Fish10_PondTime,121.782
