,5bf003ccaf38d100016bb945
Pond6Fish13_PondTime,114.402
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,632
Pond6Fish13_TimeLeft,549.021
Type,RD
FishN,19
Fish,14
Pond6Fish14_FishType,blue
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,0.652
Pond6Fish14_PondTime,131.789
Pond6Fish14_PondOutcome,158
Pond6Fish14_TotalOutcome,644
Pond6Fish14_TimeLeft,531.634
PondEnd_LastFish,14
FishN,18
Type,RD
GiveUpTime,1.443
PondTime,132.086
TimeLeft,530.835
PondOutcome,158
TotalOutcome,644
PondStart,PondStart
PondIntroTime,12.546531660482287
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.722
Pond4Fish1_PondTime,8.604
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,656
Pond4Fish1_TimeLeft,509.079
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.455
Pond4Fish2_PondTime,15.633
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,668
Pond4Fish2_TimeLeft,502.05
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.663
Pond4Fish3_PondTime,23.023
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,680
Pond4Fish3_TimeLeft,494.66
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.579
Pond4Fish4_PondTime,30.882
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,692
Pond4Fish4_TimeLeft,486.801
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.564
Pond4Fish5_PondTime,39.274
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,704
Pond4Fish5_TimeLeft,478.409
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.63
Pond4Fish6_PondTime,48.336
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,716
Pond4Fish6_TimeLeft,469.347
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.939
Pond4Fish7_PondTime,58.226
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,728
Pond4Fish7_TimeLeft,459.456
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,0.683
Pond4Fish8_PondTime,69.196
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,740
Pond4Fish8_TimeLeft,448.487
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.19
Pond4Fish9_PondTime,81.57
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,752
Pond4Fish9_TimeLeft,436.113
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,0.779
Pond4Fish10_PondTime,95.952
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,764
Pond4Fish10_TimeLeft,421.731
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,12
Pond4Fish11_CatchTime,0.691
Pond4Fish11_PondTime,113.343
Pond4Fish11_PondOutcome,132
Pond4Fish11_TotalOutcome,776
Pond4Fish11_TimeLeft,404.34
Type,RD
FishN,17
Fish,12
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,15
Pond4Fish12_CatchTime,0.792
Pond4Fish12_PondTime,135.733
Pond4Fish12_PondOutcome,144
Pond4Fish12_TotalOutcome,788
Pond4Fish12_TimeLeft,381.95
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,1.243
PondTime,135.951
TimeLeft,381.221
PondOutcome,144
TotalOutcome,788
PondStart,PondStart
PondIntroTime,10.664890438783914
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.676
Pond2Fish1_PondTime,8.073
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,800
Pond2Fish1_TimeLeft,361.87
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.747
Pond2Fish2_PondTime,14.478
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,812
Pond2Fish2_TimeLeft,355.465
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.702
Pond2Fish3_PondTime,21.166
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,824
Pond2Fish3_TimeLeft,348.777
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.638
Pond2Fish4_PondTime,28.181
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,836
Pond2Fish4_TimeLeft,341.762
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
