,5c448a8452eba20001da07d0
Pond10Fish7_TimeLeft,501.657
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.248
Pond10Fish8_PondTime,60.953
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,614
Pond10Fish8_TimeLeft,492.579
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.197
Pond10Fish9_PondTime,70.871
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,626
Pond10Fish9_TimeLeft,482.661
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.191
Pond10Fish10_PondTime,81.844
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,638
Pond10Fish10_TimeLeft,471.688
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.106
Pond10Fish11_PondTime,94.225
Pond10Fish11_PondOutcome,132
Pond10Fish11_TotalOutcome,650
Pond10Fish11_TimeLeft,459.307
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.515
Pond10Fish12_PondTime,108.634
Pond10Fish12_PondOutcome,144
Pond10Fish12_TotalOutcome,662
Pond10Fish12_TimeLeft,444.898
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,11.977
PondTime,120.309
TimeLeft,432.71
PondOutcome,144
TotalOutcome,662
PondStart,PondStart
PondIntroTime,19.168511636089534
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.405
Pond3Fish1_PondTime,9.322
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,674
Pond3Fish1_TimeLeft,403.57
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.593
Pond3Fish2_PondTime,17.183
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,686
Pond3Fish2_TimeLeft,395.71
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.494
Pond3Fish3_PondTime,25.572
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,698
Pond3Fish3_TimeLeft,387.321
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.207
Pond3Fish4_PondTime,34.65
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,710
Pond3Fish4_TimeLeft,378.242
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.627
Pond3Fish5_PondTime,44.557
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,722
Pond3Fish5_TimeLeft,368.335
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.373
Pond3Fish6_PondTime,55.54
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,734
Pond3Fish6_TimeLeft,357.353
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.226
Pond3Fish7_PondTime,67.942
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,746
Pond3Fish7_TimeLeft,344.951
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.913
Pond3Fish8_PondTime,82.349
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,758
Pond3Fish8_TimeLeft,330.544
Type,RD
FishN,15
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.443
Pond3Fish9_PondTime,99.739
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,770
Pond3Fish9_TimeLeft,313.154
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,2.128
PondTime,101.506
TimeLeft,310.871
PondOutcome,108
TotalOutcome,770
PondStart,PondStart
PondIntroTime,17.555056386627257
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.606
Pond4Fish1_PondTime,8.072
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,772
Pond4Fish1_TimeLeft,284.606
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.977
Pond4Fish2_PondTime,14.478
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,784
Pond4Fish2_TimeLeft,278.201
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.995
Pond4Fish3_PondTime,21.165
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,796
Pond4Fish3_TimeLeft,271.514
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.211
Pond4Fish4_PondTime,28.18
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,808
Pond4Fish4_TimeLeft,264.498
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.767
Pond4Fish5_PondTime,35.6
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,820
Pond4Fish5_TimeLeft,257.079
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.208
Pond4Fish6_PondTime,43.453
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,832
Pond4Fish6_TimeLeft,249.226
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.992
