,5b9125803e41080001a850e5
Pond3Fish14_TotalOutcome,693
Pond3Fish14_TimeLeft,306.674
Pond3_Type,N
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,-1
Pond3Fish15_GiveUpTime,0.588
Pond3Fish15_PondTime,16.994
Pond3Fish15_PondOutcome,154
Pond3Fish15_TotalOutcome,693
Pond3Fish15_TimeLeft,289.68
Pond6IntroTime,10.898577850311995
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.979
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,21.924
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,704
Pond9Fish1_TimeLeft,267.756
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.147
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.617
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,715
Pond9Fish2_TimeLeft,260.139
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.882
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.85
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,726
Pond9Fish3_TimeLeft,252.289
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.023
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.084
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,737
Pond9Fish4_TimeLeft,244.205
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.855
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.383
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,748
Pond9Fish5_TimeLeft,235.822
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.97
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.715
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,759
Pond9Fish6_TimeLeft,227.107
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.01
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.084
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,770
Pond9Fish7_TimeLeft,218.023
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.936
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.549
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,781
Pond9Fish8_TimeLeft,208.474
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.11
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.084
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,792
Pond9Fish9_TimeLeft,198.39
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.89
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.75
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,803
Pond9Fish10_TimeLeft,187.64
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.16
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.599
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,814
Pond9Fish11_TimeLeft,176.041
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.837
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.668
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,825
Pond9Fish12_TimeLeft,163.372
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.992
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.099
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,836
Pond9Fish13_TimeLeft,149.273
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,-1
Pond9Fish14_GiveUpTime,0.612
Pond9Fish14_PondTime,14
