,5ad48c4be70460000154210d
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.684
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.085
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,583
Pond3Fish7_TimeLeft,496.204
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.906
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.549
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,594
Pond3Fish8_TimeLeft,486.654
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.769
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.099
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,605
Pond3Fish9_TimeLeft,476.554
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.779
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.769
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,616
Pond3Fish10_TimeLeft,465.785
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.115
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.6
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,627
Pond3Fish11_TimeLeft,454.183
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,-1
Pond3Fish12_GiveUpTime,0.615
Pond3Fish12_PondTime,10.269
Pond3Fish12_PondOutcome,121
Pond3Fish12_TotalOutcome,627
Pond3Fish12_TimeLeft,443.914
Pond8IntroTime,11.852771933190525
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.787
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,23.045
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,638
Pond11Fish1_TimeLeft,420.869
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.833
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.85
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,649
Pond11Fish2_TimeLeft,413.018
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.947
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.101
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,660
Pond11Fish3_TimeLeft,404.916
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.137
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.384
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,671
Pond11Fish4_TimeLeft,396.532
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.961
Pond11Fish5_GiveUpTime,-1
