,5c6dcf4e066f6b0001556e87
Pond3Fish4_CatchTime,0.997
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.089
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,517
Pond3Fish4_TimeLeft,592.989
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.982
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.375
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,528
Pond3Fish5_TimeLeft,584.613
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.961
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.709
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,539
Pond3Fish6_TimeLeft,575.904
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.691
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.093
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,550
Pond3Fish7_TimeLeft,566.811
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.997
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.542
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,561
Pond3Fish8_TimeLeft,557.268
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.016
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.092
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,572
Pond3Fish9_TimeLeft,547.175
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.941
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.762
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,583
Pond3Fish10_TimeLeft,536.413
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.946
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.596
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,594
Pond3Fish11_TimeLeft,524.817
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.147
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.664
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,605
Pond3Fish12_TimeLeft,512.153
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,-1
Pond3Fish13_GiveUpTime,0.61
Pond3Fish13_PondTime,12.163
Pond3Fish13_PondOutcome,132
Pond3Fish13_TotalOutcome,605
Pond3Fish13_TimeLeft,499.99
Pond6IntroTime,18.803840545006096
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.323
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,29.812
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,616
