,5c847acf879a350016dee2e5
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,616
Pond9Fish10_TimeLeft,534.457
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.727
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.589
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,627
Pond9Fish11_TimeLeft,522.867
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,-1
Pond9Fish12_GiveUpTime,0.714
Pond9Fish12_PondTime,11.503
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,627
Pond9Fish12_TimeLeft,511.36
Pond6IntroTime,16.05206106323749
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.003
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,27.078
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,638
Pond4Fish1_TimeLeft,484.281
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.898
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.626
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,649
Pond4Fish2_TimeLeft,476.655
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.035
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.839
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,660
Pond4Fish3_TimeLeft,468.815
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.951
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.085
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,671
Pond4Fish4_TimeLeft,460.729
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.785
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.377
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,682
Pond4Fish5_TimeLeft,452.351
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.79
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.713
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,693
Pond4Fish6_TimeLeft,443.637
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.043
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.099
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,704
Pond4Fish7_TimeLeft,434.537
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.894
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.549
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,715
Pond4Fish8_TimeLeft,424.988
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.927
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.102
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,726
Pond4Fish9_TimeLeft,414.886
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.174
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.754
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,737
Pond4Fish10_TimeLeft,404.132
Pond4_Type,N
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,-1
Pond4Fish11_GiveUpTime,0.686
Pond4Fish11_PondTime,9.537
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,737
Pond4Fish11_TimeLeft,394.595
Pond7IntroTime,13.381569292396307
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.123
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,26.057
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,748
Pond2Fish1_TimeLeft,368.538
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.733
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.543
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,759
Pond2Fish2_TimeLeft,358.995
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.978
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.09
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,770
Pond2Fish3_TimeLeft,348.904
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.149
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.752
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,781
Pond2Fish4_TimeLeft,338.151
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.912
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.59
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,792
Pond2Fish5_TimeLeft,326.56
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.87
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.663
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,803
Pond2Fish6_TimeLeft,313.896
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.993
Pond2Fish7_GiveUpTime,-1
Pond2Fish7_PondTime,14.095
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,814
Pond2Fish7_TimeLeft,299.8
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,-1
Pond2Fish8_GiveUpTime,0.956
Pond2Fish8_PondTime,14.239
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,814
Pond2Fish8_TimeLeft,285.56
Pond8IntroTime,12.380170591641217
Pond5_Type,N
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
