,59f77c1705d1d60001f14563
Pond4Fish12_GiveUpTime,-1
Pond4Fish12_PondTime,15.253
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,737
Pond4Fish12_TimeLeft,329.548
Pond4_Type,N
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.388
Pond4Fish13_GiveUpTime,-1
Pond4Fish13_PondTime,14.092
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,748
Pond4Fish13_TimeLeft,315.456
Pond4_Type,N
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.451
Pond4Fish14_GiveUpTime,-1
Pond4Fish14_PondTime,16.096
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,759
Pond4Fish14_TimeLeft,299.359
Pond4_Type,N
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.388
Pond4Fish15_GiveUpTime,-1
Pond4Fish15_PondTime,19.094
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,770
Pond4Fish15_TimeLeft,280.265
Pond4_Type,N
Pond4Fish16_FishType,green
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,-1
Pond4Fish16_GiveUpTime,10.192
Pond4Fish16_PondTime,7.88
Pond4Fish16_PondOutcome,165
Pond4Fish16_TotalOutcome,770
Pond4Fish16_TimeLeft,272.385
Pond9IntroTime,14.04090908356011
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,2.527
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,29.595
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,781
Pond12Fish1_TimeLeft,242.79
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.867
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,9.987
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,792
Pond12Fish2_TimeLeft,232.803
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,3.19
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,14.001
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,803
Pond12Fish3_TimeLeft,218.801
