,55c09521fdf99b1b8c34379f
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.914
Pond4Fish11_GiveUpTime,-1
Pond4Fish11_PondTime,11.794
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,781
Pond4Fish11_TimeLeft,277.773
Pond4_Type,N
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.733
Pond4Fish12_GiveUpTime,-1
Pond4Fish12_PondTime,12.688
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,792
Pond4Fish12_TimeLeft,265.084
Pond4_Type,N
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.618
Pond4Fish13_GiveUpTime,-1
Pond4Fish13_PondTime,14.116
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,803
Pond4Fish13_TimeLeft,250.968
Pond4_Type,N
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.282
Pond4Fish14_GiveUpTime,-1
Pond4Fish14_PondTime,16.129
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,814
Pond4Fish14_TimeLeft,234.839
Pond4_Type,N
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.128
Pond4Fish15_GiveUpTime,-1
Pond4Fish15_PondTime,19.17
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,825
Pond4Fish15_TimeLeft,215.669
Pond4_Type,N
Pond4Fish16_FishType,green
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.473
Pond4Fish16_GiveUpTime,-1
Pond4Fish16_PondTime,24.139
