,5ca781fdc9c359000128016d
Pond3Fish11_PondTime,11.616
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,704
Pond3Fish11_TimeLeft,253.499
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.844
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.668
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,715
Pond3Fish12_TimeLeft,240.831
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.031
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.101
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,726
Pond3Fish13_TimeLeft,226.73
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.495
Pond3Fish14_GiveUpTime,-1
Pond3Fish14_PondTime,16.117
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,737
Pond3Fish14_TimeLeft,210.613
Pond3_Type,N
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,2.545
Pond3Fish15_GiveUpTime,-1
Pond3Fish15_PondTime,19.103
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,748
Pond3Fish15_TimeLeft,191.51
Pond3_Type,N
Pond3Fish16_FishType,green
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.288
Pond3Fish16_GiveUpTime,-1
Pond3Fish16_PondTime,24.102
Pond3Fish16_PondOutcome,176
Pond3Fish16_TotalOutcome,759
Pond3Fish16_TimeLeft,167.408
Pond3_Type,N
Pond3Fish17_FishType,green
Pond3Fish17_FishLatency,20
Pond3Fish17_CatchTime,-1
Pond3Fish17_GiveUpTime,-1
Pond3Fish17_PondTime,34.173
Pond3Fish17_PondOutcome,176
Pond3Fish17_TotalOutcome,759
Pond3Fish17_TimeLeft,133.235
Pond3_Type,N
Pond3Fish18_FishType,green
Pond3Fish18_FishLatency,30
Pond3Fish18_CatchTime,-1
Pond3Fish18_GiveUpTime,1.237
Pond3Fish18_PondTime,63.289
Pond3Fish18_PondOutcome,176
Pond3Fish18_TotalOutcome,759
Pond3Fish18_TimeLeft,69.946
Pond7IntroTime,19.41302333259955
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.865
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,32.093
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,770
Pond2Fish1_TimeLeft,37.853
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.657
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.555
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,781
Pond2Fish2_TimeLeft,28.298
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.313
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.101
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,792
Pond2Fish3_TimeLeft,18.197
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.98
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.768
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,803
Pond2Fish4_TimeLeft,7.429
