,5c0798f829ddf200018ac104
Pond4Fish4_TotalOutcome,616
Pond4Fish4_TimeLeft,431.082
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,44.67
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,616
Pond4Fish5_TimeLeft,421.171
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.037
Pond4Fish6_PondTime,55.614
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,627
Pond4Fish6_TimeLeft,410.227
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.19
Pond4Fish7_PondTime,68.681
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,638
Pond4Fish7_TimeLeft,397.16
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.027
Pond4Fish8_PondTime,83.036
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,649
Pond4Fish8_TimeLeft,382.805
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.11
Pond4Fish9_PondTime,100.4
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,660
Pond4Fish9_TimeLeft,365.441
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,10.579
PondTime,110.295
TimeLeft,355.043
PondOutcome,88
TotalOutcome,660
PondStart,PondStart
PondIntroTime,13.508119736798108
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.652
Pond7Fish1_PondTime,11.101
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,671
Pond7Fish1_TimeLeft,328.618
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.892
Pond7Fish2_PondTime,17.748
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,682
Pond7Fish2_TimeLeft,321.971
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.924
Pond7Fish3_PondTime,24.722
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,693
Pond7Fish3_TimeLeft,314.997
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.945
Pond7Fish4_PondTime,32.093
Pond7Fish4_PondOutcome,44
