,5d78ffbc9a5f5200169fb6ac
Pond6Fish6_PondTime,41.484
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,627
Pond6Fish6_TimeLeft,581.179
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.738
Pond6Fish7_PondTime,49.339
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,638
Pond6Fish7_TimeLeft,573.324
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.551
Pond6Fish8_PondTime,57.728
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,649
Pond6Fish8_TimeLeft,564.935
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.949
Pond6Fish9_PondTime,66.789
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,660
Pond6Fish9_TimeLeft,555.874
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.833
Pond6Fish10_PondTime,76.678
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,671
Pond6Fish10_TimeLeft,545.985
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.669
Pond6Fish11_PondTime,87.662
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,682
Pond6Fish11_TimeLeft,535.001
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.765
Pond6Fish12_PondTime,100.041
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,693
Pond6Fish12_TimeLeft,522.622
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,0.876
Pond6Fish13_PondTime,114.419
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,704
Pond6Fish13_TimeLeft,508.244
PondEnd_LastFish,13
FishN,18
Type,N
GiveUpTime,0.617
PondTime,131.609
TimeLeft,490.549
PondOutcome,143
TotalOutcome,704
PondStart,PondStart
PondIntroTime,14.961454726289958
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.06
Pond3Fish1_PondTime,7.661
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,715
Pond3Fish1_TimeLeft,467.284
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.716
Pond3Fish2_PondTime,13.591
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,726
Pond3Fish2_TimeLeft,461.355
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.649
Pond3Fish3_PondTime,19.73
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,737
Pond3Fish3_TimeLeft,455.216
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
