,5d3f63257e89a9000196f790
Pond11Fish6_CatchTime,0.486
Pond11Fish6_PondTime,55.283
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,836
Pond11Fish6_TimeLeft,343.497
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,0.251
PondTime,66.696
TimeLeft,331.58
PondOutcome,66
TotalOutcome,836
PondStart,PondStart
PondIntroTime,12.812217238824815
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.939
Pond12Fish1_PondTime,8.565
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,847
Pond12Fish1_TimeLeft,309.585
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.675
Pond12Fish2_PondTime,15.55
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,858
Pond12Fish2_TimeLeft,302.6
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,22.982
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,858
Pond12Fish3_TimeLeft,295.168
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.025
Pond12Fish4_PondTime,30.8
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,869
Pond12Fish4_TimeLeft,287.35
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
