,5d3f2ac26a5b1e0016a91a82
Pond5Fish8_TimeLeft,526.505
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.665
Pond5Fish9_PondTime,75.392
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,649
Pond5Fish9_TimeLeft,515.574
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.597
Pond5Fish10_PondTime,87.756
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,660
Pond5Fish10_TimeLeft,503.21
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.746
Pond5Fish11_PondTime,102.113
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,671
Pond5Fish11_TimeLeft,488.853
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.496
PondTime,102.555
TimeLeft,487.905
PondOutcome,121
TotalOutcome,671
PondStart,PondStart
PondIntroTime,10.009728199802339
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.75
Pond10Fish1_PondTime,8.642
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,682
Pond10Fish1_TimeLeft,468.599
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,0.808
Pond10Fish2_PondTime,15.646
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,693
Pond10Fish2_TimeLeft,461.595
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.92
Pond10Fish3_PondTime,24.768
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,704
Pond10Fish3_TimeLeft,452.473
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.853
Pond10Fish4_PondTime,34.757
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,715
Pond10Fish4_TimeLeft,442.484
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.624
Pond10Fish5_PondTime,45.548
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,726
Pond10Fish5_TimeLeft,431.693
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.907
Pond10Fish6_PondTime,54.596
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,737
Pond10Fish6_TimeLeft,422.645
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.801
Pond10Fish7_PondTime,64.497
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,748
Pond10Fish7_TimeLeft,412.744
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.896
Pond10Fish8_PondTime,75.477
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,759
Pond10Fish8_TimeLeft,401.764
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.459
PondTime,88.471
TimeLeft,388.268
PondOutcome,88
TotalOutcome,759
PondStart,PondStart
PondIntroTime,17.67452711239457
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.851
Pond4Fish1_PondTime,10.233
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,770
Pond4Fish1_TimeLeft,358.647
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.678
Pond4Fish2_PondTime,18.408
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,781
Pond4Fish2_TimeLeft,350.472
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.834
Pond4Fish3_PondTime,27.182
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,792
Pond4Fish3_TimeLeft,341.698
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.191
Pond4Fish4_PondTime,34.547
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,803
Pond4Fish4_TimeLeft,334.333
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,42.429
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,803
Pond4Fish5_TimeLeft,326.451
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.768
Pond4Fish6_PondTime,50.841
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,814
Pond4Fish6_TimeLeft,318.039
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.964
Pond4Fish7_PondTime,59.908
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,825
Pond4Fish7_TimeLeft,308.972
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.57
Pond4Fish8_PondTime,69.791
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,836
Pond4Fish8_TimeLeft,299.088
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.937
Pond4Fish9_PondTime,80.763
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,847
Pond4Fish9_TimeLeft,288.117
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.496
PondTime,92.589
TimeLeft,275.788
PondOutcome,88
TotalOutcome,847
PondStart,PondStart
PondIntroTime,19.17584069306031
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.56
Pond3Fish1_PondTime,7.606
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,858
Pond3Fish1_TimeLeft,248.363
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.84
Pond3Fish2_PondTime,13.494
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,869
Pond3Fish2_TimeLeft,242.475
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.924
Pond3Fish3_PondTime,19.639
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,880
Pond3Fish3_TimeLeft,236.33
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.607
Pond3Fish4_PondTime,26.022
