,5e209868a122c8000b7338ba
GiveUpTime,0.84
PondTime,114.211
TimeLeft,585.814
PondOutcome,143
TotalOutcome,605
PondStart,PondStart
PondIntroTime,15.203498157206923
PondEnd_LastFish,13
FishN,13
Type,N
GiveUpTime,14.891
PondTime,0.885
TimeLeft,568.604
PondOutcome,0
TotalOutcome,605
PondStart,PondStart
PondIntroTime,19.540452987421304
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.894
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,616
Pond9Fish1_TimeLeft,539.857
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.632
Pond9Fish2_PondTime,15.544
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,627
Pond9Fish2_TimeLeft,532.879
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.828
Pond9Fish3_PondTime,22.913
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,638
Pond9Fish3_TimeLeft,525.51
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.807
Pond9Fish4_PondTime,30.743
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,649
Pond9Fish4_TimeLeft,517.68
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.824
Pond9Fish5_PondTime,39.117
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,660
Pond9Fish5_TimeLeft,509.306
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.96
Pond9Fish6_PondTime,48.158
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,671
Pond9Fish6_TimeLeft,500.265
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.036
Pond9Fish7_PondTime,58.03
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,682
Pond9Fish7_TimeLeft,490.393
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
