,5cd323f554644f00188d3f86
Pond12Fish6_TimeLeft,730.034
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.174
Pond12Fish7_PondTime,46.972
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,473
Pond12Fish7_TimeLeft,722.676
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.882
Pond12Fish8_PondTime,54.799
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,484
Pond12Fish8_TimeLeft,714.849
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.44
Pond12Fish9_PondTime,63.159
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,495
Pond12Fish9_TimeLeft,706.488
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.979
Pond12Fish10_PondTime,72.202
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,506
Pond12Fish10_TimeLeft,697.446
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.421
Pond12Fish11_PondTime,82.089
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,517
Pond12Fish11_TimeLeft,687.559
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.017
Pond12Fish12_PondTime,93.029
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,528
Pond12Fish12_TimeLeft,676.619
Type,N
FishN,17
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,1.633
Pond12Fish13_PondTime,105.403
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,539
Pond12Fish13_TimeLeft,664.245
Type,N
FishN,17
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,1.058
Pond12Fish14_PondTime,119.77
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,550
Pond12Fish14_TimeLeft,649.878
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,1.054
PondTime,120.087
TimeLeft,649.055
PondOutcome,154
TotalOutcome,550
PondStart,PondStart
PondIntroTime,11.702252652030438
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.954
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,550
Pond5Fish1_TimeLeft,627.77
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.154
Pond5Fish2_PondTime,16.337
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,561
Pond5Fish2_TimeLeft,620.387
Type,N
FishN,18
Fish,3
