,5c890051146e370019e07384
FishN,18
Type,N
GiveUpTime,15.375
PondTime,102.058
TimeLeft,401.083
PondOutcome,121
TotalOutcome,748
PondStart,PondStart
PondIntroTime,11.522221460472792
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.486
Pond8Fish1_PondTime,9.275
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,759
Pond8Fish1_TimeLeft,379.654
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.804
Pond8Fish2_PondTime,17.099
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,770
Pond8Fish2_TimeLeft,371.83
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.587
Pond8Fish3_PondTime,25.459
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,781
Pond8Fish3_TimeLeft,363.47
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,34.536
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,781
Pond8Fish4_TimeLeft,354.393
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.747
Pond8Fish5_PondTime,44.421
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,792
Pond8Fish5_TimeLeft,344.508
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.065
Pond8Fish6_PondTime,55.367
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,803
Pond8Fish6_TimeLeft,333.562
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,10.352
PondTime,64.983
TimeLeft,323.443
PondOutcome,55
TotalOutcome,803
PondStart,PondStart
PondIntroTime,18.812505076639354
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.115
Pond11Fish1_PondTime,8.028
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,814
Pond11Fish1_TimeLeft,295.982
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.186
Pond11Fish2_PondTime,14.397
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,825
Pond11Fish2_TimeLeft,289.613
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,-1
Pond11Fish3_PondTime,21.144
Pond11Fish3_PondOutcome,22
Pond11Fish3_TotalOutcome,825
Pond11Fish3_TimeLeft,282.866
