,5dacaea50cd3ff0016e3f493
Pond8Fish4_CatchTime,1.01
Pond8Fish4_PondTime,34.498
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,693
Pond8Fish4_TimeLeft,372.114
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,-1
Pond8Fish5_PondTime,44.431
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,693
Pond8Fish5_TimeLeft,362.181
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.345
Pond8Fish6_PondTime,55.366
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,704
Pond8Fish6_TimeLeft,351.246
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.755
Pond8Fish7_PondTime,67.731
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,715
Pond8Fish7_TimeLeft,338.881
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,10
Pond8Fish8_CatchTime,0.769
Pond8Fish8_PondTime,82.097
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,726
Pond8Fish8_TimeLeft,324.515
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,0.975
Pond8Fish9_PondTime,99.466
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,737
Pond8Fish9_TimeLeft,307.146
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.033
Pond8Fish10_PondTime,121.832
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,748
Pond8Fish10_TimeLeft,284.78
PondEnd_LastFish,10
FishN,13
Type,N
