,5d1b2b80f18c6c00017deee4
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.073
Pond12Fish1_PondTime,7.806
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,836
Pond12Fish1_TimeLeft,327.372
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.208
Pond12Fish2_PondTime,13.938
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,847
Pond12Fish2_TimeLeft,321.24
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.847
Pond12Fish3_PondTime,20.314
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,858
Pond12Fish3_TimeLeft,314.864
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.094
Pond12Fish4_PondTime,26.966
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,869
Pond12Fish4_TimeLeft,308.212
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.098
