,5cddb06d025b0b001ce92176
Pond4Fish13_TimeLeft,410.124
Type,N
FishN,19
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,10
Pond4Fish14_CatchTime,1.231
Pond4Fish14_PondTime,119.809
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,792
Pond4Fish14_TimeLeft,395.758
Type,N
FishN,19
Fish,15
Pond4Fish15_FishType,green
Pond4Fish15_FishLatency,12
Pond4Fish15_CatchTime,1.117
Pond4Fish15_PondTime,137.188
Pond4Fish15_PondOutcome,165
Pond4Fish15_TotalOutcome,803
Pond4Fish15_TimeLeft,378.379
Type,N
FishN,19
Fish,16
Pond4Fish16_FishType,green
Pond4Fish16_FishLatency,15
Pond4Fish16_CatchTime,1.341
Pond4Fish16_PondTime,159.557
Pond4Fish16_PondOutcome,176
Pond4Fish16_TotalOutcome,814
Pond4Fish16_TimeLeft,356.01
Type,N
FishN,19
Fish,17
Pond4Fish17_FishType,green
Pond4Fish17_FishLatency,20
Pond4Fish17_CatchTime,1.26
Pond4Fish17_PondTime,191.931
Pond4Fish17_PondOutcome,187
Pond4Fish17_TotalOutcome,825
Pond4Fish17_TimeLeft,323.636
PondEnd_LastFish,17
FishN,19
Type,N
GiveUpTime,0.853
PondTime,192.245
TimeLeft,322.818
PondOutcome,187
TotalOutcome,825
PondStart,PondStart
PondIntroTime,18.364774496294558
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.363
Pond12Fish1_PondTime,8.294
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,836
Pond12Fish1_TimeLeft,295.517
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.196
Pond12Fish2_PondTime,14.949
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,847
Pond12Fish2_TimeLeft,288.862
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.402
Pond12Fish3_PondTime,21.948
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,858
Pond12Fish3_TimeLeft,281.863
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
