,5dc2c8cc9be08f1e3be48352
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.838
Pond7Fish5_PondTime,39.125
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,759
Pond7Fish5_TimeLeft,369.088
PondEnd_LastFish,5
FishN,15
Type,N
GiveUpTime,0.686
PondTime,48.002
TimeLeft,359.703
PondOutcome,55
TotalOutcome,759
PondStart,PondStart
PondIntroTime,13.06198067497462
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.803
Pond4Fish1_PondTime,8.037
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,770
Pond4Fish1_TimeLeft,337.963
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.946
Pond4Fish2_PondTime,14.415
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,781
Pond4Fish2_TimeLeft,331.585
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.821
Pond4Fish3_PondTime,21.076
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,792
Pond4Fish3_TimeLeft,324.924
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,1.032
Pond4Fish4_PondTime,28.07
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,803
Pond4Fish4_TimeLeft,317.93
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.86
Pond4Fish5_PondTime,35.45
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,814
Pond4Fish5_TimeLeft,310.55
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1
Pond4Fish6_PondTime,43.279
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,825
Pond4Fish6_TimeLeft,302.721
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.108
Pond4Fish7_PondTime,51.66
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,836
Pond4Fish7_TimeLeft,294.34
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.906
Pond4Fish8_PondTime,60.711
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,847
Pond4Fish8_TimeLeft,285.289
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.002
Pond4Fish9_PondTime,70.592
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,858
Pond4Fish9_TimeLeft,275.408
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,0.801
PondTime,70.595
TimeLeft,274.896
PondOutcome,99
TotalOutcome,858
PondStart,PondStart
PondIntroTime,10.468720654025674
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.101
Pond2Fish1_PondTime,8.317
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,869
Pond2Fish1_TimeLeft,255.478
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.037
Pond2Fish2_PondTime,14.988
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,880
Pond2Fish2_TimeLeft,248.807
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.016
