,5dcee15fa6438002940762a7
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,594
Pond2Fish6_TimeLeft,548.575
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.975
Pond2Fish7_PondTime,67.666
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,605
Pond2Fish7_TimeLeft,536.207
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.866
Pond2Fish8_PondTime,82.032
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,616
Pond2Fish8_TimeLeft,521.841
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.925
Pond2Fish9_PondTime,99.399
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,627
Pond2Fish9_TimeLeft,504.474
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,0.765
Pond2Fish10_PondTime,121.766
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,638
Pond2Fish10_TimeLeft,482.106
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,20
Pond2Fish11_CatchTime,1.254
Pond2Fish11_PondTime,154.132
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,649
Pond2Fish11_TimeLeft,449.741
PondEnd_LastFish,11
FishN,13
Type,N
GiveUpTime,56.845
PondTime,210.444
TimeLeft,392.926
PondOutcome,121
TotalOutcome,649
PondStart,PondStart
PondIntroTime,13.620613040402532
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,0.755
Pond1Fish1_PondTime,7.599
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,660
Pond1Fish1_TimeLeft,371.091
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,0.904
Pond1Fish2_PondTime,13.485
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,671
Pond1Fish2_TimeLeft,365.205
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.885
Pond1Fish3_PondTime,19.599
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,682
Pond1Fish3_TimeLeft,359.091
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.718
Pond1Fish4_PondTime,25.967
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,693
Pond1Fish4_TimeLeft,352.723
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.21
Pond1Fish5_PondTime,32.616
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,704
Pond1Fish5_TimeLeft,346.074
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.18
Pond1Fish6_PondTime,39.583
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,715
Pond1Fish6_TimeLeft,339.107
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.941
Pond1Fish7_PondTime,46.95
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,726
Pond1Fish7_TimeLeft,331.74
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,0.829
Pond1Fish8_PondTime,54.766
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,737
Pond1Fish8_TimeLeft,323.924
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.023
Pond1Fish9_PondTime,63.134
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,748
Pond1Fish9_TimeLeft,315.556
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
