,5c07f9ce7ce1dd0001a4efec
Pond1Fish1_CatchTime,0.929
Pond1Fish1_PondTime,9.274
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,495
Pond1Fish1_TimeLeft,672.577
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.904
Pond1Fish2_PondTime,17.082
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,506
Pond1Fish2_TimeLeft,664.769
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.552
Pond1Fish3_PondTime,25.444
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,517
Pond1Fish3_TimeLeft,656.407
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.224
Pond1Fish4_PondTime,34.468
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,528
Pond1Fish4_TimeLeft,647.383
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.046
Pond1Fish5_PondTime,44.324
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,539
Pond1Fish5_TimeLeft,637.527
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.962
Pond1Fish6_PondTime,55.264
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,550
Pond1Fish6_TimeLeft,626.587
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.071
Pond1Fish7_PondTime,67.621
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,561
Pond1Fish7_TimeLeft,614.23
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.782
Pond1Fish8_PondTime,82.086
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,572
Pond1Fish8_TimeLeft,599.765
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.203
Pond1Fish9_PondTime,99.44
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,583
Pond1Fish9_TimeLeft,582.411
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.754
PondTime,121.654
TimeLeft,559.693
PondOutcome,99
TotalOutcome,583
PondStart,PondStart
PondIntroTime,16.49882542900741
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.921
Pond7Fish1_PondTime,8.278
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,594
Pond7Fish1_TimeLeft,534.289
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.118
Pond7Fish2_PondTime,14.922
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,605
Pond7Fish2_TimeLeft,527.645
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.093
Pond7Fish3_PondTime,21.899
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,616
Pond7Fish3_TimeLeft,520.668
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.966
Pond7Fish4_PondTime,29.259
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,627
Pond7Fish4_TimeLeft,513.308
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.676
Pond7Fish5_PondTime,37.068
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,638
Pond7Fish5_TimeLeft,505.499
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.134
Pond7Fish6_PondTime,45.427
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,649
Pond7Fish6_TimeLeft,497.14
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.869
Pond7Fish7_PondTime,54.453
