,5c33821f6f160f00013489cb
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.217
Pond12Fish5_PondTime,44.5
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,704
Pond12Fish5_TimeLeft,153.69
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.193
Pond12Fish6_PondTime,55.436
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,715
Pond12Fish6_TimeLeft,142.754
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.03
Pond12Fish7_PondTime,67.816
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,726
Pond12Fish7_TimeLeft,130.374
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.409
Pond12Fish8_PondTime,82.228
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,737
Pond12Fish8_TimeLeft,115.962
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.15
Pond12Fish9_PondTime,99.648
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,748
Pond12Fish9_TimeLeft,98.542
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,18.38
PondTime,117.391
TimeLeft,80.296
PondOutcome,88
TotalOutcome,748
PondStart,PondStart
PondIntroTime,17.89003692334518
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.633
Pond8Fish1_PondTime,7.812
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,759
Pond8Fish1_TimeLeft,53.962
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,0.917
Pond8Fish2_PondTime,13.929
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,770
Pond8Fish2_TimeLeft,47.845
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,0.973
Pond8Fish3_PondTime,20.328
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,781
Pond8Fish3_TimeLeft,41.446
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.052
Pond8Fish4_PondTime,26.984
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,792
Pond8Fish4_TimeLeft,34.79
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.04
Pond8Fish5_PondTime,33.965
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,803
Pond8Fish5_TimeLeft,27.809
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.907
Pond8Fish6_PondTime,41.38
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,814
Pond8Fish6_TimeLeft,20.394
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.289
Pond8Fish7_PondTime,49.203
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,825
Pond8Fish7_TimeLeft,12.571
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,-1
Pond8Fish8_PondTime,57.662
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,825
Pond8Fish8_TimeLeft,4.112
