,5e208aa1e87b8e000b43675d
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,0.894
Pond12Fish6_PondTime,41.282
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,605
Pond12Fish6_TimeLeft,597.971
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.789
Pond12Fish7_PondTime,49.1
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,616
Pond12Fish7_TimeLeft,590.153
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.812
Pond12Fish8_PondTime,57.466
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,627
Pond12Fish8_TimeLeft,581.787
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.736
Pond12Fish9_PondTime,66.499
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,638
Pond12Fish9_TimeLeft,572.753
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,1.028
Pond12Fish10_PondTime,76.367
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,649
Pond12Fish10_TimeLeft,562.886
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.055
Pond12Fish11_PondTime,87.301
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,660
Pond12Fish11_TimeLeft,551.952
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,0.53
PondTime,99.128
TimeLeft,539.622
PondOutcome,121
TotalOutcome,660
PondStart,PondStart
PondIntroTime,19.456210664939135
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.808
Pond3Fish1_PondTime,8.883
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,671
Pond3Fish1_TimeLeft,510.653
Type,N
FishN,18
