,5d56e5a6ed4dff00155112ea
Pond5Fish3_CatchTime,1.065
Pond5Fish3_PondTime,19.672
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,880
Pond5Fish3_TimeLeft,221.531
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.132
Pond5Fish4_PondTime,26.042
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,891
Pond5Fish4_TimeLeft,215.161
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.995
Pond5Fish5_PondTime,32.698
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,902
Pond5Fish5_TimeLeft,208.505
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.285714285714286
