,5ce787a02ba98d000149f18c
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,814
Pond4Fish7_TimeLeft,284.671
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.403
Pond4Fish8_PondTime,74.676
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,825
Pond4Fish8_TimeLeft,272.307
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.628
Pond4Fish9_PondTime,89.046
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,836
Pond4Fish9_TimeLeft,257.937
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,1.724
PondTime,90.595
TimeLeft,255.885
PondOutcome,99
TotalOutcome,836
PondStart,PondStart
PondIntroTime,15.799297385383397
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.507
Pond11Fish1_PondTime,8.896
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,847
Pond11Fish1_TimeLeft,230.495
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.177
Pond11Fish2_PondTime,16.254
Pond11Fish2_PondOutcome,22
