,5decb11b9b8f2437f63f1d8b
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.702
Pond3Fish6_PondTime,43.16
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,754
Pond3Fish6_TimeLeft,474.485
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.753
Pond3Fish7_PondTime,51.517
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,766
Pond3Fish7_TimeLeft,466.128
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.871
Pond3Fish8_PondTime,60.544
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,778
Pond3Fish8_TimeLeft,457.101
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.645
Pond3Fish9_PondTime,70.401
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,790
Pond3Fish9_TimeLeft,447.243
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,0.639
Pond3Fish10_PondTime,81.328
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,802
Pond3Fish10_TimeLeft,436.317
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,0.185
PondTime,92.984
TimeLeft,424.158
PondOutcome,120
TotalOutcome,802
PondStart,PondStart
PondIntroTime,14.576915039215237
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.73
Pond2Fish1_PondTime,8.018
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,804
Pond2Fish1_TimeLeft,400.944
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.762
Pond2Fish2_PondTime,14.375
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,816
Pond2Fish2_TimeLeft,394.585
Type,RD
FishN,16
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.785
Pond2Fish3_PondTime,21.018
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,828
Pond2Fish3_TimeLeft,387.944
Type,RD
FishN,16
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.729
Pond2Fish4_PondTime,27.993
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,840
Pond2Fish4_TimeLeft,380.969
Type,RD
FishN,16
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.788
Pond2Fish5_PondTime,35.351
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,852
Pond2Fish5_TimeLeft,373.611
Type,RD
FishN,16
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.762
Pond2Fish6_PondTime,43.162
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,864
Pond2Fish6_TimeLeft,365.8
Type,RD
FishN,16
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.773
Pond2Fish7_PondTime,51.517
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,876
Pond2Fish7_TimeLeft,357.445
Type,RD
FishN,16
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.725
Pond2Fish8_PondTime,60.544
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,888
Pond2Fish8_TimeLeft,348.418
Type,RD
FishN,16
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.866
Pond2Fish9_PondTime,70.4
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,900
Pond2Fish9_TimeLeft,338.562
PondEnd_LastFish,9
FishN,17
Type,RD
GiveUpTime,0.376
PondTime,80.926
TimeLeft,327.535
PondOutcome,98
TotalOutcome,900
PondStart,PondStart
PondIntroTime,12.525388579815626
Type,RT
FishN,19
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1
Pond11Fish1_PondTime,8.268
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,910
Pond11Fish1_TimeLeft,306.127
Type,RT
FishN,19
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.008
Pond11Fish2_PondTime,14.909
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,920
Pond11Fish2_TimeLeft,299.486
Type,RT
FishN,19
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.705
Pond11Fish3_PondTime,21.885
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,930
Pond11Fish3_TimeLeft,292.51
Type,RT
FishN,19
Fish,4
Pond11Fish4_FishType,purple
