,5e236a025ade0b61f502fd1d
Pond10Fish1_CatchTime,0.808
Pond10Fish1_PondTime,9.287
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,604
Pond10Fish1_TimeLeft,478.963
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.917
Pond10Fish2_PondTime,17.13
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,615
Pond10Fish2_TimeLeft,471.12
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.004
Pond10Fish3_PondTime,25.513
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,626
Pond10Fish3_TimeLeft,462.737
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,34.62
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,626
Pond10Fish4_TimeLeft,453.63
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.718
Pond10Fish5_PondTime,44.507
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,637
Pond10Fish5_TimeLeft,443.743
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.944
Pond10Fish6_PondTime,55.464
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,648
Pond10Fish6_TimeLeft,432.786
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,2.196
PondTime,56.783
TimeLeft,430.964
PondOutcome,55
TotalOutcome,648
PondStart,PondStart
PondIntroTime,15.635011706035584
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,gray
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.746
Pond9Fish1_PondTime,8.051
Pond9Fish1_PondOutcome,2
Pond9Fish1_TotalOutcome,650
Pond9Fish1_TimeLeft,405.478
Type,RD
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.595
Pond9Fish2_PondTime,14.418
Pond9Fish2_PondOutcome,14
Pond9Fish2_TotalOutcome,662
Pond9Fish2_TimeLeft,399.111
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.937
Pond9Fish3_PondTime,21.067
Pond9Fish3_PondOutcome,26
Pond9Fish3_TotalOutcome,674
Pond9Fish3_TimeLeft,392.462
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.449
Pond9Fish4_PondTime,28.052
Pond9Fish4_PondOutcome,28
Pond9Fish4_TotalOutcome,676
Pond9Fish4_TimeLeft,385.476
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.923
Pond9Fish5_PondTime,35.435
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,688
Pond9Fish5_TimeLeft,378.094
Type,RD
FishN,14
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.792
