,5ddaca18dba634a313f3bd1d
Pond4Fish10_TotalOutcome,664
Pond4Fish10_TimeLeft,307.02
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,1.145
PondTime,147.927
TimeLeft,305.777
PondOutcome,88
TotalOutcome,664
PondStart,PondStart
PondIntroTime,19.32937321951613
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.246
Pond3Fish1_PondTime,9.735
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,675
Pond3Fish1_TimeLeft,276.103
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.433
Pond3Fish2_PondTime,18.135
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,686
Pond3Fish2_TimeLeft,267.704
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.341
Pond3Fish3_PondTime,27.17
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,697
Pond3Fish3_TimeLeft,258.668
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.528
Pond3Fish4_PondTime,37.067
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,708
Pond3Fish4_TimeLeft,248.772
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.734
Pond3Fish5_PondTime,48.082
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,719
Pond3Fish5_TimeLeft,237.757
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.37
Pond3Fish6_PondTime,60.451
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,730
Pond3Fish6_TimeLeft,225.388
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.14
Pond3Fish7_PondTime,74.864
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,741
Pond3Fish7_TimeLeft,210.975
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.674
Pond3Fish8_PondTime,92.251
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,752
Pond3Fish8_TimeLeft,193.588
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,114.683
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,752
Pond3Fish9_TimeLeft,171.156
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,31.292
PondTime,123.423
TimeLeft,161.91
PondOutcome,88
TotalOutcome,752
PondStart,PondStart
PondIntroTime,17.708053074311465
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.201
Pond9Fish1_PondTime,9.301
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,764
Pond9Fish1_TimeLeft,133.536
Type,RD
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.654
Pond9Fish2_PondTime,17.145
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,776
Pond9Fish2_TimeLeft,125.692
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.139
Pond9Fish3_PondTime,25.536
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,788
Pond9Fish3_TimeLeft,117.301
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.508
Pond9Fish4_PondTime,34.602
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,800
Pond9Fish4_TimeLeft,108.235
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,gray
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.357
Pond9Fish5_PondTime,44.49
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,802
Pond9Fish5_TimeLeft,98.347
Type,RD
FishN,14
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.253
Pond9Fish6_PondTime,55.432
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,814
Pond9Fish6_TimeLeft,87.405
Type,RD
FishN,14
Fish,7
Pond9Fish7_FishType,gray
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.259
Pond9Fish7_PondTime,67.818
Pond9Fish7_PondOutcome,64
Pond9Fish7_TotalOutcome,816
Pond9Fish7_TimeLeft,75.019
Type,RD
FishN,14
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.309
Pond9Fish8_PondTime,82.23
Pond9Fish8_PondOutcome,76
Pond9Fish8_TotalOutcome,828
Pond9Fish8_TimeLeft,60.607
Type,RD
FishN,14
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.434
Pond9Fish9_PondTime,99.64
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,840
Pond9Fish9_TimeLeft,43.197
Type,RD
FishN,14
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.288
Pond9Fish10_PondTime,122.017
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,852
