,5c3764a08cfec40001c063ad
FishN,14
Type,RT
GiveUpTime,8.939
PondTime,169.713
TimeLeft,377.751
PondOutcome,130
TotalOutcome,663
PondStart,PondStart
PondIntroTime,19.730820551048964
Type,N
FishN,16
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,8.65
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,663
Pond10Fish1_TimeLeft,348.707
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.102
Pond10Fish2_PondTime,15.636
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,674
Pond10Fish2_TimeLeft,341.722
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.338
Pond10Fish3_PondTime,23
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,685
Pond10Fish3_TimeLeft,334.358
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.103
Pond10Fish4_PondTime,30.822
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,696
Pond10Fish4_TimeLeft,326.536
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.2
Pond10Fish5_PondTime,39.205
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,707
Pond10Fish5_TimeLeft,318.153
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.197
Pond10Fish6_PondTime,48.241
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,718
Pond10Fish6_TimeLeft,309.117
Type,N
FishN,16
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.46
Pond10Fish7_PondTime,58.128
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,729
Pond10Fish7_TimeLeft,299.23
Type,N
FishN,16
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.462
Pond10Fish8_PondTime,69.081
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,740
Pond10Fish8_TimeLeft,288.277
Type,N
FishN,16
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.758
Pond10Fish9_PondTime,81.521
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,751
Pond10Fish9_TimeLeft,275.837
Type,N
FishN,16
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.975
Pond10Fish10_PondTime,95.895
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,762
Pond10Fish10_TimeLeft,261.463
Type,N
FishN,16
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.732
Pond10Fish11_PondTime,113.295
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,773
Pond10Fish11_TimeLeft,244.063
Type,N
FishN,16
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,-1
Pond10Fish12_PondTime,135.719
Pond10Fish12_PondOutcome,110
Pond10Fish12_TotalOutcome,773
Pond10Fish12_TimeLeft,221.639
Type,N
FishN,16
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,20
Pond10Fish13_CatchTime,1.764
Pond10Fish13_PondTime,168.163
Pond10Fish13_PondOutcome,121
Pond10Fish13_TotalOutcome,784
Pond10Fish13_TimeLeft,189.195
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,37.284
PondTime,205.344
TimeLeft,151.512
PondOutcome,121
TotalOutcome,784
PondStart,PondStart
PondIntroTime,19.253748757764697
Type,RT
FishN,19
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.252
Pond11Fish1_PondTime,9.744
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,794
Pond11Fish1_TimeLeft,121.895
Type,RT
FishN,19
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.985
Pond11Fish2_PondTime,18.399
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,804
Pond11Fish2_TimeLeft,113.24
Type,RT
FishN,19
Fish,3
Pond11Fish3_FishType,golden
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,-1
Pond11Fish3_PondTime,27.498
Pond11Fish3_PondOutcome,20
Pond11Fish3_TotalOutcome,804
Pond11Fish3_TimeLeft,104.141
